Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
Formiga,1,2,2,7,4,14,6,5,27,44,72,95,114,85,182,148,111,63,45,39,32,24,12,11,4,9,4,5,4,2,0,1,3,3,4,2,1,2,0,2,1,0,3,0,2,4,0,5,1,3,10,8,4,1232,31030
Itaúna,1,2,6,3,5,11,14,9,26,77,138,170,285,284,363,542,548,341,303,327,238,122,97,126,53,62,32,13,9,5,7,2,3,0,1,1,1,1,0,0,1,2,0,1,1,2,0,0,2,3,0,1,0,4241,31031
"Pará de Minas,Nova Serrana",0,5,17,12,13,46,38,51,123,183,366,514,803,632,975,1111,985,712,415,362,244,301,152,178,129,78,40,21,23,13,5,10,9,6,4,2,12,3,3,3,1,0,2,2,3,3,1,0,1,0,2,8,1,8623,31032
Caratinga,0,12,53,155,214,175,152,92,166,151,216,129,88,134,88,44,46,48,19,30,17,11,10,4,7,4,2,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2075,31034
"Coronel Fabriciano,Timóteo",0,594,1375,2303,1871,1612,1471,1070,1257,1033,805,585,455,266,346,287,243,70,39,37,41,32,15,13,15,11,4,7,3,1,4,1,1,1,2,0,1,6,7,9,4,1,2,5,6,6,13,18,20,15,27,22,5,16037,31035
Governador Valadares,0,229,314,397,399,393,436,423,570,602,628,449,410,305,318,242,255,162,113,85,50,46,57,42,57,45,39,59,29,32,14,10,22,15,11,10,16,2,17,5,12,10,8,12,13,15,21,17,29,50,24,28,30,7577,31036
Ipatinga,0,544,1260,1731,1465,1272,1077,997,958,785,541,483,384,270,266,204,129,53,23,47,24,28,19,27,23,15,14,17,8,12,3,5,4,3,1,1,2,2,1,5,8,5,9,10,5,8,5,10,10,6,9,21,14,12823,31037
Mantena,0,5,13,11,10,39,65,39,46,111,83,86,152,140,222,150,96,66,55,39,32,15,8,0,3,4,2,1,1,0,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1504,31038
Resplendor,0,22,29,58,50,71,66,47,106,151,154,121,124,75,95,107,109,129,85,91,88,76,28,28,14,14,12,13,8,5,2,4,3,2,4,2,0,0,3,2,0,1,1,2,2,2,3,5,3,1,3,1,1,2023,31040
Além Paraíba,0,8,34,25,39,30,29,26,45,70,103,146,120,80,99,65,98,82,49,25,18,11,4,2,2,4,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,4,0,1,1230,31041
Carangola,1,9,18,13,28,17,19,28,35,94,74,67,95,80,81,60,63,35,35,41,24,18,15,9,6,5,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,3,0,0,3,1,990,31042
"Leopoldina,Cataguases",0,40,108,250,315,397,306,247,575,604,596,485,479,265,372,211,164,103,64,62,46,30,9,15,10,6,3,2,2,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,2,1,2,1,1,2,13,7,4,5807,31044
Muriaé,1,1,0,2,7,20,21,33,107,250,375,436,548,239,237,278,292,129,143,81,61,35,19,14,8,12,3,4,3,2,0,0,1,0,2,0,0,2,0,0,0,0,1,2,1,0,1,2,2,5,1,5,0,3386,31045
Santos Dumont,0,0,0,0,1,0,0,0,0,1,0,0,2,2,5,8,11,4,5,2,3,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,31046
"São João Nepomuceno,Bicas",0,0,2,3,2,6,5,5,6,9,12,24,26,23,75,56,95,81,57,38,30,13,9,7,5,6,3,2,0,3,2,0,0,0,0,1,0,0,82,39,0,0,0,1,0,0,0,1,0,0,3,0,0,732,31047
Ubá,0,4,11,24,47,107,98,129,330,604,781,737,844,475,706,680,542,466,200,196,137,99,56,59,48,38,16,17,3,3,1,1,0,0,1,0,1,2,1,0,1,0,1,2,7,1,3,4,5,6,7,6,5,7512,31048
Coração de Jesus,4,53,61,107,61,81,83,95,103,70,42,26,25,35,23,39,17,11,6,9,2,4,4,1,4,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,1,981,31050
Francisco Sá,0,11,43,108,104,121,172,184,241,241,238,205,186,56,67,35,31,22,9,16,3,4,4,3,0,7,0,1,1,2,1,2,1,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,1,0,4,0,0,2130,31051
"Janaúba,Monte Azul",3,46,158,341,358,386,494,591,740,628,435,276,167,134,154,189,172,151,92,74,67,66,34,28,18,7,5,9,4,0,2,3,3,4,3,2,1,0,2,1,1,2,1,7,0,2,2,0,1,3,2,2,2,5873,31052
Januária,0,20,63,71,52,117,160,91,202,245,139,120,85,28,44,47,31,9,11,8,10,2,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,1,2,0,0,1572,31053
Pirapora,0,61,265,471,522,522,589,457,586,617,470,346,315,184,269,226,227,190,99,83,93,95,40,30,41,21,22,7,1,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,6,7,5,8,7,3,6892,31055
Patos de Minas,0,9,2,11,17,14,12,30,16,54,92,166,239,245,350,440,500,284,196,120,150,118,182,126,81,83,66,52,35,25,28,13,14,12,10,10,8,9,15,8,4,13,18,6,7,2,9,1,1,4,6,6,2,3921,31057
"Unaí,Paracatu",0,3,0,0,3,4,11,12,22,26,36,62,58,51,98,96,106,85,67,77,77,85,62,71,78,69,44,42,51,33,27,28,11,10,17,25,22,29,30,30,27,25,26,23,12,15,12,20,12,24,17,27,4,1902,31058
Manhuaçu,0,181,217,202,201,202,204,203,312,394,539,560,565,476,545,428,414,284,158,103,87,91,39,38,25,13,18,6,3,3,3,5,3,4,4,6,1,1,2,0,2,4,2,3,2,0,4,6,10,17,8,4,10,6612,31059
Ponte Nova,0,4,18,43,55,95,117,109,266,401,453,401,377,393,372,218,222,204,133,46,24,23,21,9,19,8,4,4,1,1,1,1,1,1,1,3,7,2,0,0,2,0,2,0,1,4,0,2,0,1,1,0,4,4075,31060
Viçosa,0,1,4,22,15,9,7,15,22,18,21,42,49,45,109,148,152,74,71,47,51,43,17,17,13,9,7,3,5,3,4,4,4,1,0,2,5,0,1,0,4,0,0,0,0,0,1,0,1,1,0,0,1,1068,31061
Araçuaí,17,341,298,132,158,197,265,169,211,191,195,136,176,70,75,48,42,7,3,4,5,3,2,7,1,0,3,2,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,5,5,3,10,3,4,1,2796,31064
Itaobim,1,8,9,18,19,35,41,156,129,151,105,181,140,88,84,67,63,49,19,6,10,5,2,0,1,6,0,0,0,3,4,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1408,31065
Nanuque,0,3,6,21,14,29,45,47,81,114,88,83,62,28,68,58,39,31,24,25,13,5,0,1,2,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,900,31066
Padre Paraíso,0,0,1,0,1,1,5,8,20,38,67,95,179,108,108,98,112,72,40,28,30,16,12,9,6,6,2,3,0,1,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1073,31067
Pedra azul,4,0,0,0,1,1,8,17,10,31,35,63,61,51,93,56,45,25,6,7,7,14,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,546,31068
Araxá,0,4,2,1,5,1,19,18,22,20,63,78,74,104,110,191,170,164,134,118,94,71,49,31,31,20,33,8,16,8,10,12,7,3,6,7,2,6,4,5,2,8,2,4,6,9,12,9,4,6,2,2,1,1788,31070
"Frutal,Iturama",3,24,47,59,96,123,146,126,147,251,367,498,719,582,646,597,487,367,281,219,156,211,125,78,79,61,39,30,33,24,32,13,19,13,8,9,4,1,3,3,4,2,5,2,5,4,6,2,8,7,5,9,8,6793,31071
Uberaba,2,180,246,384,488,1024,1196,1234,1582,1526,1538,1276,1594,838,893,815,593,460,401,307,280,231,127,134,98,43,42,29,12,21,16,12,10,7,8,11,16,12,20,21,22,21,34,30,33,21,24,28,34,23,41,59,39,18136,31072
Ituiutaba,0,164,188,190,203,225,376,457,459,445,261,301,280,250,393,388,373,291,217,150,90,86,56,61,44,40,18,11,11,4,7,6,4,0,1,1,2,1,7,5,7,5,7,6,8,3,7,12,19,17,16,23,16,6212,31073
"Patrocínio,Monte Carmelo",0,8,3,4,4,11,10,20,15,37,57,54,91,95,106,103,124,89,54,46,34,36,28,31,22,21,14,5,5,3,8,3,2,1,4,1,1,2,1,1,2,0,2,1,0,0,1,0,0,0,1,2,0,1163,31074
"Uberlândia,Araguari",0,101,156,187,243,307,300,314,399,453,501,538,653,784,883,799,683,501,445,344,339,300,166,126,128,92,67,52,32,34,30,26,39,20,29,36,32,35,37,23,38,26,43,42,46,49,44,55,44,56,45,54,31,10807,31075
Manga,0,13,24,41,25,38,45,45,110,174,190,109,84,57,43,40,31,12,14,14,13,13,7,11,6,8,4,0,2,3,0,4,3,0,5,1,1,1,1,1,1,1,2,2,2,0,1,1,5,1,9,2,6,1226,31076
João Pinheiro,0,1,1,2,3,1,3,1,0,3,7,7,19,18,15,38,29,41,37,43,43,52,51,73,74,42,42,31,25,18,21,6,3,7,2,0,0,0,0,0,1,2,3,2,0,2,0,1,4,6,6,7,0,793,31077
Congonhas,0,1,7,6,29,5,8,4,14,9,11,10,9,18,41,31,36,23,13,16,18,8,5,4,4,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,0,2,2,0,3,5,0,4,1,357,31078
Conselheiro Lafaiete,0,2,3,1,0,2,1,1,4,7,3,7,12,9,19,16,13,5,5,3,2,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,2,0,0,130,31079
São Gotardo,0,0,5,2,0,0,0,5,5,5,9,5,9,10,12,20,14,23,18,22,13,8,18,16,8,2,7,6,5,7,3,2,1,1,2,0,4,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,276,31082
Bocaiúva,0,10,11,56,62,158,210,266,477,555,325,400,376,222,199,212,145,89,58,49,27,28,16,13,8,6,3,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,4,3,4,3,5,4,4011,31083
Montes Claros,2,359,551,645,508,369,367,296,479,473,410,312,265,148,158,156,212,99,69,53,47,38,15,5,3,4,4,4,6,0,0,1,4,0,2,1,1,1,3,0,1,2,1,3,2,4,12,4,2,12,16,5,8,6142,31084
Taiobeiras,2,4,4,14,18,23,26,11,31,32,37,31,38,19,46,38,48,42,20,22,17,14,5,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,556,31085
Divinópolis,0,7,27,17,42,36,93,81,112,212,351,407,623,669,824,1038,1018,708,506,536,420,405,166,183,169,119,72,32,12,20,21,7,8,7,9,11,4,6,9,10,10,6,12,6,6,8,3,10,5,2,4,14,3,9086,31086
"Lagoa da Prata,Santo Antônio do Monte",0,0,2,0,9,3,14,8,17,17,32,44,106,123,158,123,114,80,66,88,71,71,42,25,20,15,6,7,0,2,6,4,0,1,2,2,5,0,1,1,7,3,6,7,3,1,4,5,1,3,5,1,1,1332,31087
"Oliveira,Santo Antônio do Amparo",0,0,2,0,1,1,1,2,9,18,23,30,31,61,64,86,106,45,45,32,35,25,15,17,6,6,4,3,0,4,8,1,4,4,2,1,0,4,0,2,2,13,10,5,3,2,5,4,1,8,2,2,3,758,31088
Campo Belo,0,4,2,0,2,2,2,7,3,10,11,20,31,42,39,88,90,77,54,62,54,44,20,14,6,6,0,4,1,1,4,2,0,1,3,3,0,3,2,2,9,1,2,3,6,16,5,9,17,13,26,29,21,873,31089
Lima Duarte,0,0,0,0,0,0,0,2,3,3,6,4,7,4,4,3,4,2,5,1,2,3,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,31090
Cássia,0,0,2,0,0,0,1,1,8,4,2,2,0,0,7,20,19,16,9,2,7,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,114,31091
Passos,0,5,1,2,7,10,5,6,7,25,30,48,62,89,106,158,124,136,84,91,79,94,49,45,43,27,31,11,8,9,8,1,3,6,6,4,0,4,2,0,9,2,2,2,2,3,0,0,3,12,5,9,4,1479,31092
Piumhi,3,0,0,1,0,2,3,4,4,7,36,83,69,101,61,53,35,45,33,28,23,18,4,11,26,6,3,9,4,3,2,1,2,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,4,0,0,0,691,31093
"Almenara,Jacinto",0,0,23,2,43,31,51,48,95,85,178,150,158,93,137,100,149,118,112,66,50,45,16,16,9,9,12,5,3,1,1,1,0,0,2,1,2,2,0,0,0,3,2,3,0,2,0,3,2,0,0,0,4,1833,31094
Serro,0,0,0,0,0,0,0,2,1,3,17,19,17,32,30,13,35,43,49,35,3,3,38,0,8,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,359,31095
Itambacuri,0,5,7,14,33,57,92,86,83,134,157,165,120,137,184,123,118,78,36,43,26,33,19,11,6,5,4,2,2,6,2,1,1,2,1,1,1,0,1,0,2,3,2,2,2,4,3,2,2,6,3,4,0,1831,31096
Juiz de Fora,0,9,7,13,29,32,39,41,108,145,199,269,366,424,530,747,877,685,534,427,318,158,70,45,39,24,13,5,5,3,1,0,3,2,1,2,4,0,3,1,3,2,3,8,3,0,2,1,6,9,5,6,3,6229,31097
Salinas,0,10,15,26,43,46,70,72,170,118,46,74,66,39,70,61,104,42,16,9,13,5,1,1,1,2,4,3,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1136,31098
"Teófilo Otoni,Malacacheta",0,29,61,128,201,208,282,203,483,887,1164,1414,1084,492,627,444,400,260,123,93,64,55,16,33,19,11,16,4,10,6,8,2,6,1,2,5,4,6,2,3,5,2,2,4,2,4,3,9,8,16,12,7,10,8940,31099
São Francisco,2,49,93,106,104,102,138,127,194,223,171,149,100,57,68,63,71,37,29,23,19,13,2,8,3,3,2,5,6,1,0,0,0,1,2,2,1,0,0,1,0,0,0,0,3,1,1,0,1,2,1,5,5,1994,31100
Brasília de Minas,7,4,6,40,60,97,122,113,149,208,206,164,220,132,128,96,63,68,44,17,15,6,5,11,6,4,7,2,0,4,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2014,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,0,2,0,2,2,4,3,7,19,44,55,68,38,66,56,71,44,19,28,17,26,9,22,4,4,3,1,9,0,0,7,2,0,0,1,0,1,1,5,2,1,3,2,0,2,1,1,0,0,2,0,1,655,31102
