Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
"Janaúba,Monte Azul",2,7,2,8,17,21,24,25,39,41,31,32,26,23,24,23,15,7,7,5,4,3,2,3,2,1,3,2,1,2,3,1,1,0,0,0,1,0,0,1,1,0,0,410,31052
Januária,11,23,28,24,38,16,50,53,77,59,70,47,47,66,63,51,23,8,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,772,31053
Pirapora,0,10,7,24,39,76,94,171,245,152,172,118,52,86,107,95,78,96,54,38,17,12,9,2,7,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1767,31055
Patos de Minas,1,1,1,6,8,7,2,7,12,6,7,6,9,6,7,7,5,0,4,2,5,0,6,3,1,3,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,127,31057
"Unaí,Paracatu",0,2,1,3,8,2,8,7,20,16,24,35,36,37,50,32,56,58,74,28,46,20,35,16,29,16,13,10,12,16,6,5,2,8,2,2,1,4,2,1,2,1,0,746,31058
Manhuaçu,1,1,0,2,2,5,18,48,42,38,36,38,34,60,87,116,57,28,80,46,41,44,17,18,18,18,16,2,2,1,2,2,1,1,23,23,10,24,34,11,5,10,1,1063,31059
Ponte Nova,15,46,43,69,56,102,72,111,167,204,285,305,194,223,209,155,143,102,78,183,71,52,66,16,104,17,51,54,15,11,8,9,2,2,0,1,2,1,1,3,2,1,0,3251,31060
Viçosa,0,0,3,1,2,0,1,5,5,3,6,13,13,14,7,7,2,15,4,4,3,1,2,6,0,2,5,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,129,31061
Araçuaí,0,0,0,5,4,1,2,4,9,10,10,8,4,11,6,9,6,2,2,1,2,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103,31064
Itaobim,4,3,4,1,2,1,4,11,25,31,27,13,4,8,4,2,4,3,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,160,31065
Nanuque,2,2,1,9,11,26,13,36,29,29,43,39,45,45,51,34,23,35,29,21,31,22,26,15,16,20,14,11,4,5,2,2,1,2,3,5,2,2,0,0,0,0,0,706,31066
Padre Paraíso,0,0,0,2,0,1,2,0,2,1,9,3,2,2,3,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31067
Pedra azul,0,0,3,0,6,11,5,17,22,33,30,35,18,29,19,11,8,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,31068
