Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
BOM JESUS DO GALHO,0,12,9,28,48,44,19,20,38,72,48,49,56,33,45,19,21,11,6,5,7,4,1,6,1,2,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,611,31034
SANTA RITA DE MINAS,0,0,2,7,15,7,3,8,14,5,14,8,0,2,1,4,2,2,4,9,7,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,122,31034
INHAPIM,0,25,32,95,117,251,194,230,343,369,267,183,123,32,33,17,18,18,8,8,7,1,0,1,2,1,0,1,0,1,2,1,0,0,0,2,0,1,0,0,0,0,0,0,2383,31034
SAO SEBASTIAO DO ANTA,0,0,1,1,0,8,6,8,15,73,70,49,12,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,31034
UBAPORANGA,0,8,36,22,28,61,22,17,54,55,77,81,69,32,34,27,16,7,6,5,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,31034
VARGEM ALEGRE,0,40,11,16,48,39,14,1,3,6,0,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,31034
SAO DOMINGOS DAS DORES,0,0,8,6,6,20,19,23,24,26,13,11,31,9,0,2,3,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,31034
CORREGO NOVO,0,0,1,1,4,4,2,3,12,4,4,6,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,31035
PINGO-D'AGUA,0,1,5,4,13,21,12,27,35,28,35,23,8,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,10,2,0,233,31035
CORONEL FABRICIANO,0,138,287,583,759,569,426,207,206,335,256,224,255,83,189,191,122,123,37,33,48,28,25,13,7,8,16,6,9,2,6,9,7,9,16,13,10,10,6,4,6,16,0,0,5297,31035
JAGUARACU,0,8,4,4,2,3,1,9,2,17,2,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,31035
MARLIERIA,0,1,6,9,7,18,3,9,6,6,15,11,4,1,9,6,1,2,1,2,1,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,126,31035
ANTONIO DIAS,0,78,93,59,63,73,57,23,64,30,31,36,40,30,6,0,9,13,2,4,8,3,0,0,0,0,4,0,0,0,0,0,1,1,1,0,2,2,0,2,1,1,2,0,739,31035
DIONISIO,0,166,204,179,57,24,12,57,32,26,8,1,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,776,31035
