Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
SAO JOAO DO MANHUACU,0,0,0,0,1,0,2,12,39,32,45,54,81,54,48,80,45,31,42,44,35,16,16,11,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,699,31059
MARTINS SOARES,0,1,0,0,0,3,2,3,33,24,26,11,13,25,38,21,27,27,7,12,20,6,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,31059
LAJINHA,0,0,0,2,5,7,1,1,6,21,14,27,72,53,48,44,8,6,22,34,64,36,29,15,25,5,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,554,31059
TAPARUBA,0,0,0,1,1,1,9,2,6,6,5,3,10,8,13,16,13,18,19,23,26,31,25,4,3,3,0,0,0,3,0,0,1,0,4,81,24,10,3,5,0,0,0,0,377,31059
MANHUACU,0,7,11,10,38,100,210,217,535,670,553,433,496,578,1101,1188,898,579,556,437,357,395,297,301,266,238,39,11,8,10,7,1,3,3,2,2,2,4,3,2,0,1,0,1,10570,31059
LUISBURGO,0,0,0,0,0,4,10,12,8,5,5,8,11,8,24,22,20,16,3,16,8,9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,31059
CHALE,0,0,1,2,3,5,5,8,17,18,26,18,33,26,22,33,39,13,14,15,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,31059
SAO JOSE DO MANTIMENTO,0,4,7,6,15,21,22,2,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,31059
ALTO CAPARAO,0,0,4,6,2,4,7,9,7,13,40,32,29,47,30,12,31,23,10,7,9,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,31059
DURANDE,0,11,3,8,9,24,52,71,74,70,80,82,45,57,34,28,62,37,21,29,29,7,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,31059
POCRANE,0,0,0,2,7,25,19,45,99,90,52,68,67,35,38,4,8,16,8,5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,593,31059
CAPUTIRA,0,1,0,0,1,9,19,22,32,43,61,81,80,47,68,17,19,21,14,9,5,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,31059
CONCEICAO DE IPANEMA,0,1,0,0,9,26,14,10,3,9,8,2,7,11,3,2,1,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,31059
REDUTO,0,1,0,0,4,4,48,69,59,41,28,46,45,44,32,7,10,5,5,7,4,8,1,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,480,31059
SANTA MARGARIDA,0,0,2,1,4,21,14,18,34,29,31,45,59,26,30,28,49,28,11,10,17,10,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,31059
SANTANA DO MANHUACU,0,10,11,4,20,19,15,5,22,27,18,11,4,3,4,6,4,4,1,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,31059
MATIPO,0,0,0,1,3,9,9,16,41,52,62,146,83,104,82,18,29,21,17,12,18,4,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,31059
ABRE CAMPO,0,1,0,1,6,6,8,25,19,35,33,33,71,7,97,25,35,41,16,17,6,20,1,1,0,6,1,3,1,1,2,2,1,1,0,0,2,0,0,0,0,0,0,0,524,31059
MUTUM,0,0,5,0,1,1,9,6,7,15,9,8,27,20,22,33,22,11,13,14,10,4,4,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,4,1,264,31059
SERICITA,0,0,0,0,3,1,9,13,21,26,26,33,47,18,23,17,12,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,254,31060
RIO CASCA,0,0,9,11,21,34,55,42,69,108,129,161,67,61,94,48,56,48,27,40,33,17,8,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,31060
DOM SILVERIO,0,0,0,1,3,6,29,30,27,64,54,42,48,26,19,41,43,31,38,22,17,16,17,14,5,1,8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,608,31060
DIOGO DE VASCONCELOS,0,0,0,0,1,3,1,1,9,9,14,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,31060
SANTA CRUZ DO ESCALVADO,0,1,0,1,5,8,10,9,18,30,17,18,14,19,23,17,23,25,9,3,7,0,0,0,1,0,8,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,273,31060
ACAIACA,0,3,8,16,26,53,53,99,113,91,64,59,33,20,20,13,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,31060
BARRA LONGA,0,0,4,7,7,13,4,22,11,10,7,8,13,5,18,12,20,21,21,9,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,31060
SEM-PEIXE,0,5,16,3,9,15,21,13,35,52,48,42,39,28,38,20,10,6,22,6,5,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,441,31060
JEQUERI,0,0,2,2,0,13,23,25,57,58,48,41,37,27,52,47,37,37,10,15,16,5,6,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,565,31060
AMPARO DO SERRA,0,0,1,0,0,4,8,0,4,3,7,1,5,1,4,1,2,1,9,5,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,31060
ALVINOPOLIS,0,10,40,43,90,93,115,147,170,143,112,95,136,101,90,53,48,35,30,27,16,17,8,3,9,2,2,0,0,2,0,1,2,0,0,1,2,0,0,0,3,1,3,1,1651,31060
GUARACIABA,0,2,1,6,6,12,16,17,53,50,76,120,157,138,189,147,111,107,65,56,34,23,4,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1400,31060
SAO PEDRO DOS FERROS,0,1,2,2,1,9,20,35,64,109,93,115,129,94,143,135,83,88,50,46,50,11,2,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1292,31060
RIO DOCE,0,0,0,0,0,5,2,3,4,11,4,5,6,1,19,9,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,31060
RAUL SOARES,0,7,2,15,28,25,89,86,169,144,185,159,157,159,192,181,161,181,130,149,136,154,103,47,19,8,7,4,1,2,2,2,1,5,1,0,1,0,0,3,1,0,1,0,2717,31060
SAO JOSE DO GOIABAL,0,9,23,33,70,71,29,17,17,18,51,28,23,8,13,10,9,2,1,4,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,443,31060
SANTO ANTONIO DO GRAMA,0,0,0,0,1,1,5,6,20,23,24,10,25,26,19,21,12,6,12,7,9,7,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,31060
URUCANIA,0,9,2,4,9,25,21,11,15,36,22,38,35,28,63,42,10,7,1,5,3,0,2,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,394,31060
ORATORIOS,0,0,1,0,1,3,1,4,4,8,6,15,12,11,33,17,11,14,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,31060
PONTE NOVA,0,12,9,13,37,117,171,183,277,252,269,347,465,317,510,533,441,443,325,305,293,257,133,122,86,64,37,30,19,17,13,17,3,1,13,2,10,3,6,3,5,4,14,0,6178,31060
PIEDADE DE PONTE NOVA,0,0,0,0,0,2,13,17,21,6,28,17,33,31,16,25,4,12,2,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,31060
PAULA CANDIDO,0,1,0,0,2,4,8,12,15,7,29,20,26,24,65,28,7,10,8,13,7,5,4,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,31061
TEIXEIRAS,0,3,0,4,2,9,9,3,20,15,18,26,18,15,24,19,21,6,14,20,11,10,1,1,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,31061
CANAA,0,1,0,0,0,0,0,4,3,1,12,4,17,22,27,20,17,30,27,19,18,21,12,18,7,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,31061
CAJURI,0,0,0,0,0,1,1,10,4,14,55,53,81,89,51,45,64,48,34,28,17,11,15,12,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,31061
SAO MIGUEL DO ANTA,0,0,0,0,0,0,6,1,3,11,6,21,36,10,46,34,43,38,12,51,1,0,19,27,19,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,31061
PORTO FIRME,0,0,0,0,2,0,9,4,13,9,14,39,33,33,40,55,19,31,65,26,1,1,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,400,31061
VICOSA,0,5,14,11,23,36,89,97,132,168,218,335,437,355,361,512,373,358,344,371,241,143,87,111,117,173,229,94,120,66,20,3,1,2,2,0,0,3,2,2,0,0,3,0,5658,31061
PEDRA DO ANTA,0,1,1,2,0,1,9,8,5,17,34,23,51,24,26,30,59,47,34,27,22,36,13,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,31061
ARAPONGA,0,0,0,1,2,3,0,7,11,4,7,4,3,2,2,8,11,8,3,6,8,0,1,0,0,4,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101,31061
31062 Águas Formosas,0,9,8,13,18,35,58,66,187,222,266,321,316,243,268,276,195,173,148,133,111,99,59,35,26,34,26,19,11,8,9,1,1,1,0,3,1,1,0,2,0,0,0,0,3402,31062 Águas Formosas
CRISOLITA,0,2,0,0,0,1,2,2,6,2,4,4,1,6,1,3,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,31061
SANTA HELENA DE MINAS,0,0,0,1,1,3,4,1,10,10,18,24,25,18,13,14,11,8,7,5,9,15,4,3,2,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,31061
UMBURATIBA,0,0,0,0,2,1,0,0,9,2,3,10,1,4,5,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,31061
AGUAS FORMOSAS,0,3,5,5,5,7,14,16,57,72,55,59,71,58,64,89,49,46,63,60,28,30,12,16,12,7,5,3,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,916,31061
PAVAO,0,2,0,5,1,10,8,9,16,23,39,70,76,49,79,84,63,47,39,31,23,26,29,4,7,15,12,13,8,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,793,31061
BERTOPOLIS,0,0,0,0,0,1,5,0,9,7,19,18,21,13,20,15,9,4,2,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,31061
FRONTEIRA DOS VALES,0,0,1,0,2,4,6,8,6,3,13,3,11,2,6,1,3,6,6,7,6,4,2,6,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116,31061
MACHACALIS,0,2,2,2,7,8,19,30,74,103,115,133,110,93,80,69,54,60,30,30,35,20,12,6,3,1,2,1,3,4,5,1,0,0,0,3,0,0,0,1,0,0,0,0,1118,31061
ARACUAI,0,5,9,14,20,30,53,64,139,204,237,225,261,293,267,222,251,141,107,88,78,49,28,28,20,4,13,7,5,2,4,8,4,1,3,1,9,3,0,1,1,2,3,0,2904,31064
CORONEL MURTA,0,2,2,2,4,9,21,22,43,54,84,125,69,41,42,9,14,4,3,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,31064
FRANCISCO BADARO,0,2,18,12,12,25,39,62,81,54,142,164,103,107,89,63,62,39,19,23,29,28,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,31064
VIRGEM DA LAPA,0,10,19,22,23,36,32,63,83,93,98,61,87,68,53,54,33,54,30,28,25,16,13,5,9,1,3,1,0,1,2,0,0,1,0,0,1,1,0,1,0,0,0,0,1027,31064
BERILO,0,15,36,39,38,45,51,44,68,25,65,11,47,8,6,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,31064
JENIPAPO DE MINAS,0,1,4,2,1,6,7,3,15,21,16,38,30,33,38,40,28,15,19,14,13,6,1,11,2,0,2,1,2,2,2,3,1,2,3,2,3,2,3,2,1,0,2,0,397,31064
ITAOBIM,0,0,5,8,9,17,21,35,61,93,88,104,134,87,94,72,90,93,47,43,34,28,12,9,3,3,8,1,2,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1207,31065
ITINGA,0,1,17,14,5,9,18,16,47,37,67,89,46,18,22,15,8,6,10,1,7,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,31065
MEDINA,0,1,5,2,7,11,19,16,19,84,106,127,129,155,116,97,64,58,65,24,5,3,2,3,6,2,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1133,31065
PONTO DOS VOLANTES,0,0,4,1,9,8,1,9,11,11,22,35,36,14,24,30,10,21,4,5,10,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,31065
MONTE FORMOSO,0,0,0,0,0,0,2,1,6,26,34,39,25,10,18,4,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,31065
COMERCINHO,0,1,1,1,4,4,5,13,12,29,28,28,22,14,23,32,17,11,7,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,31065
CARLOS CHAGAS,0,1,13,17,30,22,31,26,21,11,33,55,49,35,33,32,35,30,16,40,30,26,11,10,3,5,4,1,1,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,627,31066
SERRA DOS AIMORES,0,0,0,1,2,6,5,6,17,19,33,35,44,40,45,29,45,27,24,13,5,14,13,2,6,4,8,8,2,4,3,1,0,0,2,0,4,3,0,0,0,0,0,0,470,31066
NANUQUE,0,5,9,6,3,3,20,16,48,70,48,90,114,108,151,136,93,82,122,58,50,57,32,37,33,46,30,17,17,15,19,7,10,8,7,9,8,9,7,1,3,1,0,0,1605,31066
CARAI,0,1,8,7,7,15,20,47,46,59,64,59,72,77,73,71,62,76,79,76,70,46,47,35,19,15,13,16,8,4,0,2,7,8,3,0,1,0,1,0,2,0,0,0,1216,31067
CATUJI,0,1,1,0,0,2,7,4,9,9,9,23,18,12,39,32,16,11,1,7,13,7,1,1,0,3,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,232,31067
PADRE PARAISO,0,0,5,3,4,6,12,31,55,101,82,141,184,170,205,158,125,124,68,83,43,23,6,10,5,3,2,2,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1657,31067
ITAIPE,0,0,0,1,0,3,5,4,6,12,10,12,22,32,56,84,85,63,123,102,53,74,43,29,10,12,5,4,6,2,6,1,0,1,1,0,2,0,4,0,1,1,1,0,876,31067
DIVISOPOLIS,0,0,0,0,2,4,7,6,6,12,13,9,13,2,8,9,19,0,0,1,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,31068
AGUAS VERMELHAS,0,0,0,0,0,0,3,3,4,3,5,7,7,3,18,12,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,31068
DIVISA ALEGRE,0,0,0,0,5,4,3,2,7,8,8,7,12,11,16,18,25,11,1,5,3,5,4,10,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,31068
PEDRA AZUL,0,1,3,4,4,10,28,46,99,175,142,154,171,171,124,89,69,42,34,16,12,20,9,3,11,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1442,31068
CACHOEIRA DE PAJEU,0,0,0,1,1,5,10,20,16,37,36,48,50,58,52,59,45,15,13,18,15,23,9,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,31068
CAMPOS ALTOS,0,3,8,9,29,33,39,77,101,131,96,84,139,77,145,140,75,57,80,83,99,71,48,35,23,27,31,20,8,9,0,3,3,0,0,0,2,0,3,4,1,0,1,0,1794,31070
ARAXA,0,65,139,180,269,486,735,824,1166,1218,1244,1297,1391,1045,924,972,730,420,622,303,515,415,250,198,124,139,142,99,71,57,46,32,22,18,20,25,27,24,20,3,0,1,0,0,16278,31070
IBIA,0,9,12,21,28,51,99,144,197,223,297,367,376,342,412,510,422,309,208,204,163,144,72,66,34,33,22,23,14,8,4,5,2,1,3,5,3,2,0,3,0,0,0,0,4838,31070
PERDIZES,0,4,5,16,20,60,51,68,74,123,147,156,113,94,131,247,228,255,177,239,178,157,94,106,138,62,52,20,34,24,9,14,12,2,3,3,6,0,1,1,2,1,4,0,3131,31070
TAPIRA,0,0,1,0,2,2,5,7,10,13,6,12,3,5,2,6,8,2,14,6,6,8,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128,31070
SANTA JULIANA,0,6,8,3,34,23,48,28,78,80,30,152,170,107,91,54,45,48,22,20,13,12,3,3,2,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1085,31070
PRATINHA,0,0,0,3,1,8,10,7,7,12,13,22,17,22,13,29,27,12,13,20,14,14,4,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,31070
PEDRINOPOLIS,0,1,3,26,32,44,108,85,100,98,118,166,138,53,40,57,25,20,22,14,14,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1183,31070
SAO FRANCISCO DE SALES,0,0,0,0,0,1,5,16,22,27,15,13,12,11,11,38,24,42,35,41,47,56,33,30,37,29,24,17,13,5,3,1,5,1,2,1,5,3,0,2,2,1,0,0,630,31071
UNIAO DE MINAS,0,0,0,0,2,2,0,0,5,9,1,4,4,1,5,4,5,4,6,2,2,4,1,0,0,2,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,70,31071
ITURAMA,0,7,5,7,9,16,26,43,88,72,47,45,42,16,28,40,31,44,27,20,34,31,28,23,28,23,16,22,11,13,10,24,30,12,13,15,14,11,9,9,9,10,2,0,1010,31071
LIMEIRA DO OESTE,0,1,0,3,2,6,7,9,13,28,15,65,56,41,64,27,44,53,46,49,30,21,15,20,17,10,5,0,3,6,4,11,2,0,3,0,0,0,0,0,0,0,0,0,676,31071
FRONTEIRA,0,30,45,39,51,21,32,26,22,10,19,12,2,1,9,16,10,2,12,15,10,9,11,14,4,11,2,0,1,2,1,0,1,2,0,0,0,0,1,0,1,0,1,0,445,31071
FRUTAL,0,8,28,24,33,73,87,96,144,116,99,79,78,46,48,57,53,57,60,68,39,40,24,19,19,26,23,18,14,8,13,10,14,15,13,18,12,12,14,14,5,5,7,0,1636,31071
PIRAJUBA,0,0,0,5,1,8,6,6,9,6,5,9,10,8,5,5,0,5,0,0,18,2,5,1,7,0,0,0,0,9,2,3,1,2,1,2,0,0,1,1,0,0,1,0,144,31071
PLANURA,0,2,2,4,15,13,9,20,34,25,33,40,22,19,17,7,12,45,10,29,30,20,11,15,10,9,3,9,1,9,4,1,2,1,3,3,5,2,3,2,2,0,0,0,503,31071
CARNEIRINHO,0,2,0,0,6,12,14,20,25,23,24,27,14,17,15,32,13,30,26,34,31,17,14,11,6,13,12,9,6,6,4,2,3,4,2,2,2,2,2,0,0,0,0,0,482,31071
COMENDADOR GOMES,0,0,0,0,0,0,4,6,3,10,9,0,10,0,5,1,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,31071
ITAPAGIPE,0,11,3,14,13,15,17,19,8,32,20,39,37,28,48,30,26,35,54,32,83,115,84,108,96,77,71,52,59,82,60,64,62,42,35,45,43,40,32,33,13,12,29,5,1823,31071
SACRAMENTO,0,9,5,6,34,65,102,111,177,178,303,368,440,424,465,601,682,507,433,518,274,268,108,97,47,53,19,20,6,10,1,3,4,4,5,9,7,5,1,3,2,4,0,0,6378,31072
UBERABA,0,146,231,258,369,438,723,722,1145,1000,891,895,799,518,515,845,917,843,923,1371,1358,909,744,723,516,504,465,423,355,250,265,179,194,106,216,113,148,126,88,201,84,49,29,5,21599,31072
CAMPO FLORIDO,0,0,1,3,7,11,18,22,24,36,29,48,33,21,22,22,34,21,21,11,20,23,10,15,9,10,11,15,12,8,3,5,3,0,2,0,0,3,0,0,0,0,0,0,533,31072
DELTA,0,0,0,0,1,4,6,1,2,7,3,15,13,20,7,8,17,7,11,7,15,6,7,5,2,3,3,1,1,1,8,7,0,1,1,1,1,0,0,0,0,0,0,0,192,31072
CONCEICAO DAS ALAGOAS,0,2,3,1,7,10,15,13,40,49,22,14,30,16,18,21,43,48,63,100,98,46,61,60,55,32,25,41,30,14,29,8,7,7,7,7,12,6,1,2,2,2,1,0,1068,31072
AGUA COMPRIDA,0,2,3,2,1,9,8,5,9,5,12,5,15,11,15,41,35,38,35,34,56,16,16,12,11,11,8,5,0,1,0,2,1,0,0,0,0,1,0,0,4,1,0,0,430,31072
VERISSIMO,0,0,1,0,0,7,1,2,6,4,3,2,1,3,2,1,2,1,2,6,1,4,4,2,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,31072
CONQUISTA,0,0,2,2,6,17,14,20,45,26,15,18,15,17,25,53,33,42,39,53,39,31,7,3,12,22,7,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,582,31072
GURINHATA,0,0,1,0,2,3,1,1,3,5,6,10,44,31,21,31,49,45,43,33,29,14,6,5,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,31073
CENTRALINA,0,1,0,0,7,8,2,17,16,27,5,18,23,17,29,26,49,59,62,52,35,65,22,31,24,14,8,5,3,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,632,31073
CACHOEIRA DOURADA,0,0,0,3,0,0,1,0,0,0,3,0,3,0,2,2,2,0,7,19,2,8,1,1,11,4,6,2,1,12,4,6,8,4,15,4,3,1,1,3,3,1,0,0,143,31073
SANTA VITORIA,0,1,1,6,15,15,23,41,44,45,51,77,124,77,80,90,85,83,85,52,45,55,17,17,17,8,6,11,5,2,4,5,3,1,0,0,0,1,1,1,1,0,1,1,1197,31073
CAPINOPOLIS,0,0,5,6,16,17,17,17,22,43,31,36,25,20,31,27,45,61,62,54,63,42,31,16,18,34,20,13,22,14,12,8,9,12,11,9,9,5,20,12,3,0,1,0,919,31073
IPIACU,0,1,3,2,0,3,5,10,0,10,0,2,0,7,10,28,26,11,16,5,7,3,0,3,9,5,2,1,6,5,2,1,0,0,1,0,0,1,0,0,0,0,0,0,185,31073
CAMPINA VERDE,0,0,0,0,3,7,10,13,6,6,7,8,16,12,6,9,17,38,18,22,27,25,12,4,12,3,2,3,1,0,1,1,3,2,0,2,0,0,0,0,0,0,0,0,296,31073
CANAPOLIS,0,3,11,10,21,35,14,29,42,34,65,91,1,2,26,169,129,164,162,188,110,129,50,38,29,38,22,12,10,3,6,4,1,4,3,6,3,4,0,2,1,2,0,0,1673,31073
ITUIUTABA,0,6,9,40,42,95,108,117,90,103,120,185,176,137,171,215,240,227,225,232,242,250,164,188,144,123,119,125,109,101,94,46,66,44,59,45,45,40,29,23,29,24,9,0,4656,31073
GRUPIARA,0,1,0,1,4,1,1,0,0,0,0,0,1,0,2,4,0,0,0,0,3,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31074
MONTE CARMELO,0,10,23,39,37,58,90,78,126,125,103,140,100,57,104,119,123,128,55,91,75,76,71,58,46,28,22,25,15,1,4,2,1,1,0,0,2,1,5,1,3,5,2,0,2050,31074
IRAI DE MINAS,0,0,0,1,2,23,16,21,44,26,49,35,80,65,113,67,79,54,80,31,16,17,7,5,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,31074
COROMANDEL,0,147,209,219,215,277,262,277,247,209,172,193,159,99,98,102,88,75,126,93,65,62,43,57,23,16,14,20,16,8,6,4,6,1,2,3,7,6,3,0,0,0,0,0,3629,31074
DOURADOQUARA,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,31074
ROMARIA,0,0,1,2,2,5,6,3,0,1,4,14,11,7,25,22,18,21,13,15,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,31074
ESTRELA DO SUL,0,1,0,5,5,11,6,8,7,14,15,11,13,7,4,10,4,8,3,4,2,3,1,4,2,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,155,31074
ABADIA DOS DOURADOS,0,1,2,5,9,8,6,13,11,9,10,7,5,1,7,7,0,3,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,113,31074
PATROCINIO,0,26,103,103,144,197,261,199,247,248,341,406,625,453,392,354,131,80,61,53,71,39,31,37,27,25,14,6,7,1,10,2,0,3,0,1,1,0,2,1,1,2,1,0,4706,31074
PRATA,0,10,34,20,48,31,51,55,195,384,124,168,85,76,103,112,101,141,127,57,101,44,25,48,49,0,20,8,11,4,0,1,0,0,0,0,0,0,1,3,1,4,1,0,2243,31075
NOVA PONTE,0,32,38,37,19,9,13,2,11,9,11,14,3,0,3,4,5,10,5,7,7,5,4,6,16,26,26,7,5,4,11,6,4,4,6,0,0,0,1,0,0,0,0,0,370,31075
CASCALHO RICO,0,1,1,30,18,8,25,35,39,33,43,51,38,45,24,27,20,9,11,12,2,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,31075
UBERLANDIA,0,205,343,540,903,1837,1928,2080,2337,2073,2025,1788,2110,1537,1203,957,845,819,750,951,815,829,478,347,394,236,226,166,142,136,87,107,76,54,75,52,57,77,87,108,128,80,25,2,30015,31075
ARAGUARI,0,173,237,428,683,881,1062,960,1044,1140,1112,1233,1488,966,817,762,766,642,644,693,450,497,277,325,298,179,176,114,137,157,102,95,67,39,26,35,99,49,109,45,35,24,21,0,19087,31075
