"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  COMERCINHO";-;-;3;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"31066 Nanuque";2;2;1;9;11;26;13;36;29;29;43;39;45;45;51;34;23;35;29;21;31;22;26;15;16;20;14;11;4;5;2;2;1;2;3;5;2;2;-;-;-;-;-;706
".....  CARLOS CHAGAS";-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
".....  SERRA DOS AIMORES";-;-;-;1;1;-;1;-;-;1;8;3;8;7;12;9;1;3;1;4;5;4;5;4;6;7;6;7;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;107
".....  NANUQUE";2;2;1;8;10;26;12;35;28;28;34;36;37;37;39;24;22;32;28;17;25;18;21;11;10;13;8;4;3;5;2;2;-;2;3;3;2;2;-;-;-;-;-;592
"31067 Padre Paraíso";-;-;-;2;-;1;2;-;2;1;9;3;2;2;3;2;1;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
".....  CARAI";-;-;-;-;-;1;2;-;1;-;2;2;1;2;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  CATUJI";-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  PADRE PARAISO";-;-;-;-;-;-;-;-;-;1;5;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  ITAIPE";-;-;-;2;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"31068 Pedra azul";-;-;3;-;6;11;5;17;22;33;30;35;18;29;19;11;8;4;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256
".....  DIVISA ALEGRE";-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  PEDRA AZUL";-;-;3;-;6;11;5;16;20;33;30;35;18;28;19;11;8;4;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;252
".....  CACHOEIRA DE PAJEU";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31070 Araxá";-;-;-;1;1;3;2;3;3;1;4;1;2;4;3;1;1;2;-;-;3;1;-;1;1;2;2;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;44
".....  CAMPOS ALTOS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  ARAXA";-;-;-;1;-;-;-;3;-;1;2;-;2;3;1;1;-;2;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
".....  IBIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
".....  PERDIZES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  TAPIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SANTA JULIANA";-;-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  PRATINHA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
