"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  SERRA AZUL DE MINAS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SERRO";-;1;2;1;3;2;-;6;11;-;-;5;1;2;1;25;-;2;13;12;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88
"31096 Itambacuri";1;6;12;16;26;12;18;22;41;52;59;48;49;47;17;20;5;9;6;1;2;5;6;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;483
".....  NOVA MODICA";-;-;-;-;-;-;1;-;-;18;28;23;25;23;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124
".....  CAMPANARIO";-;-;-;1;2;1;5;-;10;19;15;14;4;7;2;-;-;2;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85
".....  ITAMBACURI";1;6;12;15;24;10;11;13;21;9;4;4;7;3;1;1;-;6;4;1;2;3;6;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166
".....  SAO JOSE DO DIVINO";-;-;-;-;-;-;-;-;-;1;4;2;11;11;8;18;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59
".....  FREI GASPAR";-;-;-;-;-;1;-;7;8;4;3;1;-;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
".....  PESCADOR";-;-;-;-;-;-;1;2;2;1;5;4;2;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"31097 Juiz de Fora";4;3;2;6;3;4;-;7;9;5;3;5;7;12;15;12;12;10;4;6;12;6;3;7;9;6;5;2;2;4;1;-;2;3;-;3;1;1;1;-;-;-;-;197
".....  CHACARA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CORONEL PACHECO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BELMIRO BRAGA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  JUIZ DE FORA";3;3;-;4;2;4;-;7;4;4;3;5;4;10;13;10;10;9;3;6;12;5;3;7;9;5;5;2;1;4;1;-;2;3;-;3;1;1;1;-;-;-;-;169
".....  SANTANA DO DESERTO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  GOIANA";-;-;-;1;1;-;-;-;-;-;-;-;3;-;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  SIMAO PEREIRA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PIAU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  RIO NOVO";-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  MATIAS BARBOSA";1;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"31098 Salinas";2;1;6;5;6;3;1;8;1;-;1;2;2;1;4;3;5;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
".....  PADRE CARVALHO";1;1;1;1;-;1;-;6;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
".....  FRUTA DE LEITE";1;-;3;1;1;-;-;2;-;-;-;1;1;-;3;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
".....  NOVORIZONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  SALINAS";-;-;2;3;5;2;1;-;-;-;1;1;1;-;-;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"31099 Teófilo Otoni/Malacacheta";9;7;12;20;38;47;38;58;82;65;87;99;51;49;46;44;36;32;24;28;10;3;7;4;2;4;4;1;3;1;2;-;-;1;-;3;-;1;1;-;-;1;-;920
".....  ANGELANDIA";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
".....  MALACACHETA";-;-;1;1;1;-;-;-;1;5;3;2;2;4;4;-;-;-;2;3;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;32
".....  POTE";-;-;-;-;-;1;-;1;2;2;1;1;-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
".....  ATALEIA";-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  NOVO ORIENTE DE MINAS";3;1;-;5;10;10;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32
".....  FRANCISCOPOLIS";1;1;2;4;5;7;6;2;1;1;2;5;4;4;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49
".....  NOVO CRUZEIRO";-;-;-;-;-;-;1;1;1;1;7;5;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;19
".....  TEOFILO OTONI";5;5;9;10;22;29;27;54;75;55;72;81;43;40;39;39;33;27;18;23;7;2;7;3;2;4;4;1;3;1;1;-;-;-;-;3;-;-;1;-;-;-;-;745
".....  LADAINHA";-;-;-;-;-;-;-;-;2;1;-;2;-;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
".....  OURO VERDE DE MINAS";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31100 São Francisco";1;1;19;24;34;17;34;101;100;86;96;36;34;76;66;47;73;20;8;8;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;885
".....  SAO ROMAO";-;-;-;-;-;3;1;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  ICARAI DE MINAS";-;-;-;-;2;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  URUCUIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO FRANCISCO";1;-;3;7;6;11;7;88;99;82;95;36;34;76;66;47;73;19;8;8;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;769
".....  PINTOPOLIS";-;1;16;17;26;3;26;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;102
"31101 Brasília de Minas";2;7;30;36;60;48;17;10;6;6;11;10;43;21;24;8;3;-;1;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;351
".....  VARZELANDIA";-;-;4;1;2;-;4;1;1;4;5;1;1;2;2;5;3;-;1;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;42
".....  LONTRA";-;-;-;1;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  LUISLANDIA";1;5;3;13;32;33;8;2;4;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105
".....  JAPONVAR";-;1;4;9;17;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
".....  PATIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
".....  SAO JOAO DA PONTE";1;-;4;7;5;7;1;5;1;1;2;8;42;19;21;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;127
".....  IBIRACATU";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
".....  CAMPO AZUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BRASILIA DE MINAS";-;1;15;4;4;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
".....  UBAI";-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31102 Peçanha/São João Evangelista/Santa Maria do Suaçuí";-;-;-;3;2;2;3;5;4;4;7;7;6;7;5;11;10;3;2;5;5;2;-;2;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100
".....  PECANHA";-;-;-;2;-;-;1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  AGUA BOA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;2;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
".....  SANTA MARIA DO SUACUI";-;-;-;-;1;1;2;1;3;1;5;4;6;4;4;10;7;2;-;3;2;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61
".....  SAO SEBASTIAO DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PAULISTAS";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO JOAO EVANGELISTA";-;-;-;1;-;1;-;2;1;1;2;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  SAO PEDRO DO SUACUI";-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  JOSE RAYDAN";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO JOSE DO JACURI";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"Total";2956;5386;6713;9408;11526;11791;11008;14668;14991;12457;12659;11566;7499;7757;6773;6386;5275;4592;4757;4340;3566;2328;2453;2513;1432;968;1108;1023;678;488;519;475;266;305;312;248;231;260;267;226;152;108;9;192443
