Residência,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
NAQUE,3,8,3,8,15,24,26,23,34,9,13,8,3,4,6,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,31037
JOANESIA,35,66,82,92,78,106,109,99,82,64,67,51,58,104,107,107,68,33,27,6,2,2,6,3,0,0,1,4,0,1,3,2,5,4,0,2,0,0,1,1,0,0,0,1478,31037
BELO ORIENTE,14,45,105,132,330,313,411,492,347,179,116,88,48,27,22,21,20,4,9,4,1,3,1,0,0,0,1,39,0,0,0,0,0,0,1,0,0,1,1,0,1,5,0,2781,31037
BUGRE,4,2,14,18,25,47,40,28,24,23,21,24,18,16,7,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,327,31037
DOM CAVATI,1,6,10,81,138,103,96,39,37,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,31037
SAO JOAO DO MANTENINHA,0,0,0,0,0,1,0,1,3,2,9,10,3,3,1,1,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31038
MENDES PIMENTEL,0,0,0,1,0,0,0,1,1,1,1,4,1,7,5,8,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31038
MANTENA,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,4,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,31038
SAO FELIX DE MINAS,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31038
ITABIRINHA,0,1,1,1,0,6,5,17,16,13,28,24,22,12,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,31038
DIVINO DAS LARANJEIRAS,0,0,0,0,0,0,0,0,2,11,3,6,6,16,14,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,31038
NOVA BELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31038
CENTRAL DE MINAS,0,2,0,0,1,7,8,6,15,32,22,28,14,23,15,17,41,70,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,31038
SANTA RITA DO ITUETO,0,0,0,0,1,1,0,0,0,0,2,2,1,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31040
CONSELHEIRO PENA,0,0,3,1,1,14,15,25,30,70,142,171,145,180,103,102,46,17,12,6,6,0,1,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1096,31040
CUPARAQUE,0,0,0,1,0,0,0,4,6,12,45,21,6,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,31040
GOIABEIRA,0,0,0,0,0,0,0,0,0,3,3,2,2,1,0,0,0,2,1,1,0,1,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31040
AIMORES,0,1,1,2,2,5,6,20,26,29,49,30,17,30,41,27,30,21,5,12,7,3,6,3,2,1,2,1,1,3,1,1,1,1,1,2,0,1,0,0,0,3,0,394,31040
RESPLENDOR,0,0,1,3,4,10,0,4,23,15,18,8,12,16,8,5,4,4,4,2,2,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,152,31040
ITUETA,0,0,0,0,1,1,0,3,1,5,7,6,2,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,31040
VOLTA GRANDE,0,0,0,0,0,0,0,2,3,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31041
ALEM PARAIBA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31041
ORIZANIA,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31042
DIVINO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31042
PEDRA BONITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31042
FERVEDOURO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31042
CARANGOLA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31042
CAIANA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31042
ESPERA FELIZ,0,0,0,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,31042
CAPARAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31042
ASTOLFO DUTRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,31044
LEOPOLDINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31044
CATAGUASES,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,31044
LARANJAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31044
DONA EUSEBIA,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31044
ARGIRITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31044
