Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
São Gotardo,0,2,3,1,0,2,1,1,0,0,1,1,1,2,1,0,1,3,3,0,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,35,31082
Bocaiúva,0,2,1,5,3,1,0,0,1,0,3,1,1,1,1,5,2,2,0,1,0,3,1,2,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,4,0,1,1,0,0,1,1,7,59,31083
Montes Claros,0,34,22,21,10,10,8,10,16,19,9,15,15,12,24,23,34,62,34,64,47,24,29,37,21,21,18,18,17,14,18,7,7,14,5,5,3,5,9,8,3,4,6,0,7,4,10,7,9,22,72,79,158,1150,31084
Taiobeiras,0,0,1,3,2,0,2,1,0,0,1,0,2,2,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28,31085
Divinópolis,0,6,12,11,22,16,17,10,4,9,12,7,8,5,6,9,10,21,8,10,20,8,12,4,9,2,5,7,8,5,8,7,5,1,2,4,2,6,2,3,2,1,8,8,1,11,3,4,7,16,29,15,9,437,31086
"Lagoa da Prata,Santo Antônio do Monte",0,4,1,2,7,3,3,3,4,5,3,0,3,5,1,3,1,3,1,3,2,0,4,0,3,1,1,0,0,0,2,1,1,0,1,3,2,1,0,1,1,0,2,0,2,3,1,5,3,3,3,1,0,102,31087
"Oliveira,Santo Antônio do Amparo",0,1,2,2,3,2,1,1,2,1,0,2,1,1,0,0,1,1,2,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,2,0,0,38,31088
Campo Belo,0,4,1,2,6,2,1,0,1,2,5,3,3,2,6,4,2,5,2,3,1,2,2,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,5,3,2,2,2,2,0,0,85,31089
Lima Duarte,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,31090
Cássia,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,31091
Passos,0,8,2,4,5,3,3,5,1,4,5,2,5,4,5,1,3,3,1,3,0,0,0,2,0,0,0,1,0,2,1,2,1,1,1,0,0,0,1,1,0,0,1,1,1,2,0,3,0,4,2,2,2,98,31092
Piumhi,0,3,1,2,0,0,1,2,0,0,0,1,0,0,0,3,2,0,2,2,0,0,1,0,1,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,30,31093
"Almenara,Jacinto",0,3,2,5,1,4,1,0,1,1,1,4,2,3,4,3,2,0,1,2,1,0,0,3,2,2,1,2,1,3,4,1,4,4,0,0,0,0,2,0,1,0,3,0,1,1,1,0,0,6,3,1,1,88,31094
Serro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31095
Itambacuri,0,5,2,3,7,5,10,7,1,6,14,12,9,3,9,19,9,13,22,20,29,14,20,31,37,16,15,16,6,7,9,2,6,6,19,9,8,9,8,8,6,3,3,5,1,0,2,2,0,1,1,1,0,476,31096
Juiz de Fora,0,5,13,14,15,10,10,10,4,10,7,6,5,7,5,12,6,4,7,10,8,4,2,2,6,4,5,3,2,3,1,2,2,2,1,2,2,2,0,0,2,2,1,3,2,2,3,2,4,4,8,4,5,255,31097
Salinas,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,3,0,0,0,1,0,0,5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22,31098
"Teófilo Otoni,Malacacheta",0,38,45,49,49,32,74,102,36,46,139,58,40,52,31,62,59,45,61,59,31,40,55,55,48,64,36,31,23,13,30,15,10,12,10,12,10,10,4,10,10,6,7,13,10,11,7,15,7,13,8,9,17,1729,31099
São Francisco,0,37,8,10,7,3,2,0,0,2,2,0,3,4,0,1,1,0,0,1,1,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,2,1,0,0,1,0,1,16,7,10,12,40,55,238,31100
Brasília de Minas,1,1,0,3,3,1,1,0,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,2,7,1,1,0,0,0,1,0,0,0,40,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,0,0,2,1,2,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,31102
