Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
Varginha,0,5,5,10,13,2,7,6,6,5,8,9,28,16,14,27,33,34,23,32,41,44,10,14,5,3,4,6,0,7,3,0,0,3,2,0,1,0,1,4,2,3,1,1,0,0,0,4,4,2,5,3,1,457,31012
Barbacena,0,2,1,0,3,2,4,0,1,1,0,2,2,5,2,1,1,3,2,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,43,31013
São João Del Rei,0,0,0,3,2,1,2,5,2,1,0,0,4,6,8,8,2,4,4,3,3,2,1,1,1,0,1,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,75,31015
"Belo Horizonte,Nova Lima,Santa Luzia",0,218,269,320,350,338,338,315,314,268,218,351,490,555,457,430,338,377,404,334,274,261,142,151,104,86,95,100,64,79,66,79,75,61,75,60,56,105,85,71,120,74,130,73,125,142,98,141,153,143,143,160,184,10459,31016
Betim,0,50,64,57,80,74,49,72,69,70,62,120,120,128,107,99,66,95,104,98,87,58,42,42,25,19,18,16,7,14,16,19,16,13,27,14,16,22,13,10,19,18,33,32,27,28,22,30,25,36,29,38,40,2455,31017
Contagem,0,52,74,99,105,89,90,101,119,71,68,131,147,140,135,140,93,124,101,92,82,63,61,29,32,22,21,26,25,30,14,24,21,22,24,8,14,23,21,17,9,19,20,29,32,41,35,44,36,35,44,23,31,2948,31018
Curvelo,0,42,55,113,157,164,209,175,202,148,98,160,134,90,90,88,41,75,85,65,49,40,17,12,29,20,11,9,4,4,13,3,1,1,6,7,3,2,7,2,2,5,2,8,6,7,2,11,8,3,12,8,8,2513,31019
Guanhães,0,0,2,1,3,2,1,1,1,7,1,20,42,47,22,16,9,13,12,11,1,2,3,0,3,2,0,0,1,0,0,2,2,0,0,1,0,0,2,3,1,0,4,5,3,4,1,2,1,5,3,9,5,276,31020
Itabira,0,5,7,14,7,13,14,6,3,16,5,11,19,17,20,19,17,14,11,18,29,13,10,7,5,2,4,3,1,3,1,2,1,2,2,3,3,3,3,3,2,2,7,2,1,4,3,3,1,4,7,4,2,378,31021
Ouro Preto,0,2,3,4,5,2,4,1,5,2,3,1,6,8,6,4,2,1,1,2,0,4,1,2,3,1,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,82,31022
João Monlevade,0,3,3,6,8,9,4,8,3,8,4,4,8,14,17,14,9,4,5,8,4,3,4,5,1,0,3,2,1,2,0,1,4,2,0,1,3,2,0,0,0,1,0,0,2,1,4,1,4,5,0,4,1,200,31023
Sete Lagoas,0,31,34,24,37,31,36,44,31,34,24,51,43,70,43,58,39,41,48,52,36,26,18,20,12,3,11,9,10,4,8,9,6,10,6,9,8,9,9,8,7,8,9,12,14,23,14,11,17,12,27,26,22,1204,31024
"Vespasiano,Lagoa Santa",0,15,16,26,21,19,27,17,20,25,13,16,26,29,22,34,14,29,27,26,20,27,23,11,10,2,4,9,4,6,4,3,4,4,2,3,4,7,8,10,3,5,11,8,7,10,4,13,13,11,22,22,22,738,31025
"Diamantina,Itamarandiba",0,0,1,3,3,6,1,0,0,0,0,4,5,7,3,5,3,5,0,4,5,3,0,0,2,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,31026
"Turmalina,Minas Novas,Capelinha",0,2,5,5,11,12,22,15,17,12,15,11,16,19,12,13,6,7,16,8,6,9,10,5,1,2,3,5,4,1,4,0,2,0,0,2,2,0,0,1,1,1,0,0,1,2,2,0,1,3,5,4,4,305,31027
Bom Despacho,0,7,4,8,6,8,11,12,7,10,8,8,11,24,16,6,4,3,2,1,4,2,3,1,0,0,4,1,1,1,1,1,3,2,2,3,5,2,1,1,4,2,1,1,2,2,3,2,2,1,3,2,0,219,31028
Formiga,0,4,4,9,9,10,7,8,5,6,10,12,9,12,6,12,1,2,4,2,1,1,3,0,2,0,0,0,0,0,0,1,4,1,1,1,3,0,2,4,0,3,3,2,1,0,1,1,1,0,5,3,0,176,31030
Itaúna,0,2,2,7,4,2,0,0,1,1,1,1,3,4,7,2,3,10,6,5,5,11,1,4,4,2,3,0,2,1,2,0,1,0,1,1,1,1,0,1,1,0,0,0,0,3,0,1,5,3,0,1,2,118,31031
"Pará de Minas,Nova Serrana",0,11,3,18,16,19,27,32,33,42,29,44,48,48,45,42,22,24,21,18,6,6,13,7,7,3,1,1,0,1,2,2,1,1,3,1,2,1,3,1,2,0,1,8,3,1,0,3,2,8,1,2,1,636,31032
Caratinga,0,1,4,3,3,6,14,9,11,1,8,1,4,3,7,3,9,13,4,12,7,9,7,4,2,1,1,0,1,0,3,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,159,31034
"Coronel Fabriciano,Timóteo",0,40,49,55,71,66,57,57,61,72,53,120,145,134,105,131,71,116,119,133,128,109,96,43,77,26,52,21,20,17,19,12,15,11,9,15,4,13,11,8,12,9,16,18,8,43,27,45,68,95,109,99,71,2981,31035
Governador Valadares,0,96,101,94,122,73,89,103,105,94,85,147,188,184,107,168,77,134,136,157,127,108,84,74,50,35,46,36,34,20,19,31,20,28,23,20,9,17,7,12,35,25,28,29,39,51,63,61,69,74,86,87,100,3807,31036
Ipatinga,0,45,55,54,70,86,110,164,188,140,95,128,144,128,170,150,111,141,155,124,136,100,78,49,24,33,31,34,15,19,16,19,15,18,9,12,11,19,17,8,13,5,14,12,25,29,16,42,46,64,44,49,32,3312,31037
Mantena,0,38,27,26,10,20,19,9,14,11,5,3,9,19,22,16,21,22,23,49,42,36,29,30,19,16,11,7,2,4,0,0,1,0,1,1,2,1,2,1,0,0,1,0,0,2,0,1,1,0,5,4,3,585,31038
Resplendor,0,5,10,9,18,23,34,41,20,21,10,19,31,47,33,31,21,24,36,49,41,44,60,12,17,9,22,10,5,5,2,10,6,5,2,2,4,2,3,4,0,5,9,17,2,9,5,21,14,15,12,9,35,900,31040
Além Paraíba,0,3,8,0,4,10,6,14,18,34,16,37,42,34,25,51,18,23,21,32,22,13,7,12,6,3,7,3,0,1,0,1,1,1,0,0,0,2,0,0,1,1,1,2,0,2,2,1,1,1,0,0,0,487,31041
Carangola,0,5,2,3,0,5,2,5,6,5,1,3,30,41,26,42,23,56,39,37,22,8,7,6,1,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,385,31042
"Leopoldina,Cataguases",15,70,66,63,98,88,62,106,103,79,60,87,161,149,157,185,111,191,97,120,155,85,59,64,38,30,10,6,4,1,4,7,2,5,1,5,3,2,0,4,1,4,4,0,4,3,2,4,1,8,2,5,3,2594,31044
Muriaé,0,1,1,0,4,11,7,12,13,6,2,11,6,13,20,18,36,90,32,27,25,21,10,4,0,2,1,4,2,0,1,3,2,2,2,1,0,1,0,0,1,1,2,7,1,1,2,2,0,4,1,0,1,414,31045
Santos Dumont,1,0,0,0,2,0,0,0,0,1,0,2,3,0,3,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31046
"São João Nepomuceno,Bicas",9,2,4,6,1,5,5,11,9,11,7,25,42,33,30,40,35,51,49,36,32,17,16,13,9,1,8,1,2,2,0,4,3,4,1,1,0,1,2,2,2,0,0,0,1,2,1,0,0,1,1,1,0,539,31047
Ubá,0,19,11,9,7,21,37,20,65,45,28,83,88,93,86,69,42,72,87,54,52,29,20,15,19,11,8,3,2,7,1,9,3,4,1,4,7,6,3,10,7,8,2,5,4,7,2,5,3,7,10,9,3,1222,31048
Coração de Jesus,0,0,0,0,0,0,1,4,0,0,1,6,0,2,2,9,4,7,11,6,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,73,31050
Francisco Sá,0,0,0,1,2,1,3,0,3,8,3,11,21,12,16,23,21,13,13,12,6,5,2,3,1,0,1,2,0,2,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,2,2,0,2,2,0,1,0,200,31051
"Janaúba,Monte Azul",0,5,16,18,12,8,9,13,5,2,10,5,11,17,15,9,9,19,11,18,12,9,4,7,3,3,2,1,0,0,0,4,2,2,0,0,1,1,1,1,1,2,1,1,0,7,1,4,2,0,2,6,11,303,31052
Januária,0,4,8,6,10,34,14,16,13,14,0,17,13,13,11,7,1,9,10,4,6,3,2,0,1,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,3,2,1,2,0,0,0,3,238,31053
Pirapora,0,12,13,14,14,8,4,5,6,2,3,5,12,17,14,8,9,7,2,1,5,2,0,1,1,0,2,1,1,0,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,3,3,1,1,4,0,5,5,206,31055
Patos de Minas,0,8,16,17,16,22,32,31,28,40,30,38,52,66,61,55,61,101,76,80,67,50,37,32,21,6,4,10,10,5,5,5,3,1,3,5,2,8,3,5,4,6,8,5,8,5,2,4,2,10,5,4,5,1180,31057
"Unaí,Paracatu",0,7,6,8,8,14,7,13,6,19,7,15,17,15,17,3,7,2,6,7,7,2,8,3,4,3,7,3,3,2,4,0,3,2,1,0,3,7,6,6,1,3,7,1,2,3,5,0,1,3,1,4,4,293,31058
Manhuaçu,0,87,99,80,95,76,55,60,44,52,30,45,64,65,55,33,22,32,32,11,22,6,6,6,5,4,2,2,1,4,2,4,1,0,0,1,3,9,10,4,1,1,15,19,7,26,26,30,15,35,42,40,45,1431,31059
Ponte Nova,0,12,11,39,50,40,47,63,53,44,60,80,86,81,94,115,115,92,118,117,91,77,50,39,15,11,16,1,2,2,4,5,5,5,1,2,3,3,3,1,2,1,5,3,1,2,3,5,6,10,10,5,4,1710,31060
Viçosa,0,1,1,1,3,3,2,1,5,1,5,5,9,4,6,10,2,4,5,1,6,3,2,1,0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,2,2,0,0,0,0,2,0,0,96,31061
Araçuaí,0,6,3,3,0,1,2,4,3,5,6,6,7,11,11,1,3,0,3,2,3,4,3,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,2,5,1,3,0,109,31064
Itaobim,0,3,3,1,1,6,2,2,3,1,1,3,9,9,4,5,1,0,2,5,1,3,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,1,2,2,0,80,31065
Nanuque,0,0,1,0,0,3,4,1,1,0,1,2,1,6,3,3,1,5,2,3,1,1,0,0,0,1,2,1,1,2,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,56,31066
Padre Paraíso,0,0,0,0,0,0,0,2,0,3,1,1,6,5,4,4,0,2,3,2,5,3,4,7,5,2,5,4,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,78,31067
Pedra azul,0,1,1,4,6,8,5,10,11,16,5,13,11,13,10,7,3,3,4,3,5,3,3,1,3,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,31068
Araxá,0,3,7,7,14,12,9,14,8,7,6,10,10,13,9,11,10,10,6,5,2,2,1,1,0,0,1,0,1,2,1,0,2,1,0,0,1,0,1,0,2,4,3,4,7,3,1,7,8,5,14,9,16,270,31070
"Frutal,Iturama",0,11,15,5,12,10,14,17,24,19,18,16,32,33,17,13,16,32,24,26,20,23,11,11,2,5,7,3,5,6,0,1,9,3,4,4,7,5,4,16,16,8,8,7,15,16,11,22,22,11,20,9,6,671,31071
Uberaba,0,61,95,93,98,67,109,96,119,91,91,123,128,127,180,160,130,140,120,126,108,77,58,43,41,21,32,21,18,11,18,16,18,10,6,14,14,20,15,28,25,25,41,23,44,47,33,32,52,48,36,39,48,3236,31072
Ituiutaba,0,10,36,47,47,54,51,72,56,41,46,52,76,69,77,64,45,78,95,83,62,44,45,25,21,16,5,4,5,5,3,4,3,1,6,3,0,4,2,6,2,6,6,7,3,19,6,7,4,10,8,6,11,1458,31073
"Patrocínio,Monte Carmelo",0,3,6,7,2,5,6,8,7,7,0,15,6,9,8,10,4,11,3,3,2,4,3,2,1,2,0,1,0,0,0,3,2,0,2,1,2,2,1,1,0,0,2,2,1,1,0,1,3,4,5,8,5,181,31074
"Uberlândia,Araguari",0,32,46,48,51,66,41,55,69,58,36,54,76,91,88,90,36,77,58,48,61,45,24,29,13,10,16,14,10,3,9,10,9,5,10,5,9,3,10,8,9,4,12,13,14,17,18,28,19,17,21,23,18,1636,31075
Manga,0,2,4,3,1,6,10,9,4,1,1,8,11,17,19,11,6,6,3,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,6,8,0,1,2,155,31076
João Pinheiro,0,2,0,0,1,1,1,3,4,1,3,7,9,9,3,7,4,1,1,5,5,4,0,2,1,0,1,1,1,0,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,1,2,0,1,3,0,0,1,93,31077
Congonhas,0,2,6,5,4,5,1,4,5,4,2,6,3,14,8,15,10,20,21,37,29,7,11,1,2,0,1,3,2,1,0,1,0,1,1,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,240,31078
Conselheiro Lafaiete,0,0,0,2,0,1,2,0,1,3,0,4,5,1,1,2,1,2,2,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,31079
São Gotardo,0,0,0,3,2,4,3,3,2,1,3,3,3,0,4,8,6,1,5,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,67,31082
Bocaiúva,0,6,6,14,7,8,5,8,4,9,12,10,16,10,7,5,7,13,3,7,3,2,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,3,2,3,3,187,31083
Montes Claros,0,26,27,45,29,39,46,64,52,34,22,26,53,66,31,30,25,28,24,25,23,22,19,12,10,6,6,5,4,5,2,2,5,3,4,0,2,1,2,4,2,0,3,7,3,4,4,5,3,7,17,15,15,914,31084
Taiobeiras,0,1,2,0,2,7,13,5,2,4,3,5,1,6,5,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,2,0,76,31085
Divinópolis,0,7,7,3,13,16,19,23,12,7,12,19,25,42,25,10,17,14,8,20,9,8,5,4,3,7,1,4,5,6,3,8,4,1,5,4,3,3,1,4,5,4,15,7,4,7,3,8,10,6,7,7,6,476,31086
"Lagoa da Prata,Santo Antônio do Monte",0,5,9,11,10,10,15,14,12,14,6,21,20,26,27,10,6,2,1,4,4,1,1,0,0,2,0,2,0,0,2,3,0,0,2,0,1,2,1,1,1,1,1,1,2,3,2,1,2,5,6,3,6,279,31087
"Oliveira,Santo Antônio do Amparo",0,6,2,2,4,1,4,0,7,6,2,8,12,10,2,1,2,6,1,2,3,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,1,1,0,0,1,0,2,0,0,4,0,100,31088
Campo Belo,0,3,3,2,5,3,2,3,3,3,2,11,5,4,4,3,4,1,4,1,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,2,0,1,0,2,0,1,0,0,3,0,1,1,2,5,91,31089
Lima Duarte,3,1,0,0,1,2,0,0,0,0,1,0,0,0,1,2,3,2,3,1,9,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,31090
Cássia,0,2,1,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,16,31091
Passos,0,5,8,5,14,11,11,7,9,8,5,13,18,18,10,8,7,10,11,12,8,3,3,1,2,2,3,3,2,0,3,1,1,1,1,2,1,4,2,2,3,2,3,0,3,4,3,1,3,3,0,4,6,270,31092
Piumhi,0,0,1,5,2,3,4,4,1,3,0,2,0,6,2,3,2,0,2,0,4,0,2,0,1,0,0,1,0,0,1,0,3,1,2,0,0,1,0,2,2,1,0,2,3,2,0,2,2,1,1,1,3,78,31093
"Almenara,Jacinto",0,0,6,5,8,17,25,7,8,12,5,7,20,9,6,6,1,6,5,2,9,8,10,9,4,2,3,1,5,2,0,1,0,3,0,1,0,0,2,0,3,0,2,2,4,4,3,4,4,2,5,2,1,251,31094
Serro,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,10,31095
Itambacuri,0,0,4,2,5,3,7,3,2,10,4,16,8,7,12,7,3,9,3,2,8,7,0,1,5,1,2,6,2,1,0,1,0,1,0,0,0,0,1,0,2,2,1,1,3,2,0,1,5,11,9,3,1,184,31096
Juiz de Fora,223,70,112,134,95,168,211,271,258,187,124,167,219,265,231,268,204,291,245,285,213,147,52,63,43,15,24,11,6,6,5,0,4,2,1,0,1,0,1,2,1,0,4,2,1,1,2,2,3,4,8,1,12,4665,31097
Salinas,0,8,9,6,4,3,3,3,4,11,1,1,0,6,4,1,2,6,3,9,22,9,16,16,11,2,0,5,9,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,187,31098
"Teófilo Otoni,Malacacheta",0,12,30,12,14,19,11,12,23,18,12,27,38,63,97,82,49,37,44,44,49,23,31,12,16,18,15,13,3,3,6,5,4,2,4,4,3,3,5,8,10,9,6,10,9,5,12,18,19,24,31,29,14,1067,31099
São Francisco,0,0,2,9,4,10,6,4,7,5,2,6,8,11,9,3,7,10,8,3,2,4,1,3,2,0,1,0,1,0,0,2,0,0,4,1,1,2,0,0,0,2,1,0,1,2,0,0,0,3,2,3,0,152,31100
Brasília de Minas,0,0,1,0,4,1,2,1,4,0,0,3,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,31,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,0,0,1,1,5,13,13,15,8,15,25,14,16,45,38,23,80,86,101,110,72,42,18,12,11,2,3,9,1,0,2,0,0,0,0,1,0,1,0,2,1,0,0,2,0,0,0,0,0,0,1,0,789,31102
