Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Coronel Fabriciano,Timóteo",7,9,14,16,27,20,21,20,11,22,15,10,10,13,16,24,38,50,56,60,54,41,59,66,35,48,32,22,17,11,14,23,4,5,4,6,7,16,5,13,7,7,5,12,4,12,5,14,9,29,23,21,1089,31035
Governador Valadares,42,12,8,25,18,23,24,17,8,16,27,27,39,53,68,52,70,97,99,124,161,157,121,77,34,52,44,17,26,26,20,28,15,10,19,12,31,14,16,26,17,22,23,23,22,12,22,22,20,37,32,37,2044,31036
Ipatinga,11,24,46,18,18,30,26,35,14,10,31,31,30,30,30,39,53,48,95,91,89,103,81,64,66,60,85,30,36,27,18,22,18,13,19,10,9,16,16,4,13,9,21,15,23,18,21,16,22,38,38,26,1756,31037
Mantena,1,0,2,4,0,2,1,1,1,2,1,4,5,12,14,9,19,45,59,56,65,46,38,30,19,38,22,14,12,12,10,8,3,3,4,1,5,8,1,1,2,0,0,1,1,1,2,1,3,3,0,1,593,31038
Resplendor,0,0,2,5,12,19,33,17,8,9,23,20,35,27,57,49,57,54,71,65,51,51,57,60,26,38,27,23,17,11,9,12,9,6,5,3,2,3,8,11,7,9,2,4,3,5,12,6,6,5,3,3,1057,31040
Além Paraíba,0,3,2,1,1,1,1,0,3,0,1,1,2,1,7,2,3,14,11,7,13,7,6,3,0,4,2,1,0,1,1,3,3,0,2,2,2,0,0,1,0,0,2,1,5,0,0,1,1,0,0,0,122,31041
Carangola,1,1,0,0,2,3,7,11,2,2,3,3,10,11,13,13,49,28,47,48,50,42,27,29,14,5,3,1,1,2,2,1,1,0,2,0,0,1,0,1,1,2,2,0,1,0,2,1,2,2,0,1,450,31042
"Leopoldina,Cataguases",7,8,4,9,3,4,10,10,10,1,7,8,8,9,31,24,40,43,59,56,65,49,44,38,11,31,19,12,18,7,8,4,7,5,11,5,9,8,2,3,5,7,6,5,8,4,7,8,4,4,9,1,775,31044
Muriaé,23,10,13,10,7,24,39,42,29,20,50,23,33,32,42,39,83,168,258,275,223,196,162,126,69,86,60,43,32,14,13,9,4,3,6,2,4,5,3,2,1,1,6,3,4,3,4,5,3,4,6,5,2327,31045
Santos Dumont,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,5,3,2,6,5,9,5,3,7,8,3,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,68,31046
"São João Nepomuceno,Bicas",1,4,1,2,11,8,55,106,118,163,245,234,190,151,173,97,155,127,137,87,117,69,69,46,39,22,17,7,3,2,2,0,1,0,0,6,1,1,3,3,8,6,9,1,1,1,1,3,0,0,0,0,2503,31047
Ubá,44,65,70,100,103,72,66,91,81,41,110,132,158,197,222,165,390,308,326,264,260,229,125,86,56,91,41,30,28,23,26,17,14,9,19,17,17,20,20,24,13,28,33,25,23,16,23,35,30,48,58,34,4523,31048
Coração de Jesus,2,2,1,3,4,6,6,25,17,19,43,41,87,58,78,53,153,92,142,168,135,83,70,54,26,16,15,12,6,2,12,5,2,2,2,2,0,2,1,0,0,0,0,1,0,1,0,0,1,3,0,0,1453,31050
Francisco Sá,23,40,71,127,69,59,73,55,14,7,30,19,36,39,47,36,53,61,85,97,54,40,30,19,18,15,10,4,1,0,6,1,4,4,0,0,1,1,0,0,0,0,0,2,14,6,10,21,19,18,28,29,1396,31051
"Janaúba,Monte Azul",17,38,57,81,94,87,94,119,94,99,109,182,188,186,199,204,412,384,566,582,428,361,200,162,83,77,73,34,33,11,18,8,14,9,11,9,8,4,3,4,5,5,4,6,6,3,1,5,4,6,3,1,5391,31052
Januária,1,4,8,38,50,37,70,76,129,107,127,171,222,280,239,132,145,138,133,109,72,45,32,17,5,8,5,2,4,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,2416,31053
Pirapora,93,155,178,197,253,307,223,174,221,150,189,210,215,194,209,149,145,206,205,205,232,196,153,97,59,55,38,26,16,8,15,4,2,3,2,13,7,1,6,3,7,6,5,2,3,5,4,3,6,8,5,1,4869,31055
Patos de Minas,11,11,14,23,71,62,148,245,286,293,492,589,706,689,667,565,994,875,1165,1241,1100,1007,566,207,154,100,54,32,19,19,13,3,12,16,5,4,2,8,16,6,1,1,2,0,3,2,16,14,53,5,23,21,12631,31057
"Unaí,Paracatu",435,733,749,908,987,871,828,722,729,464,807,826,648,619,648,530,728,698,576,473,490,414,286,211,182,174,134,88,106,76,70,112,88,56,51,51,55,51,44,45,42,56,42,37,34,46,35,49,29,36,41,44,17254,31058
Manhuaçu,6,2,5,2,8,4,6,10,5,5,17,46,34,35,52,46,123,112,117,143,121,122,98,80,39,40,39,15,15,13,8,11,7,7,2,2,2,6,4,1,10,8,4,7,5,5,5,8,6,5,9,8,1490,31059
Ponte Nova,5,4,7,7,17,15,27,18,5,0,10,24,31,75,82,85,73,126,118,120,138,60,61,39,22,20,16,10,9,10,4,4,0,1,0,1,4,1,4,3,2,1,1,3,9,11,17,18,28,28,15,5,1394,31060
Viçosa,1,0,0,0,0,0,1,3,6,1,5,5,6,12,25,32,78,111,122,111,90,51,61,52,43,28,28,10,2,3,1,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,895,31061
Araçuaí,1,1,0,5,3,1,4,4,7,1,5,3,22,23,15,23,62,64,77,103,61,81,51,47,15,18,16,9,4,3,6,6,3,2,3,3,5,6,4,3,1,9,1,6,2,3,2,3,1,1,1,0,800,31064
Itaobim,0,0,0,2,0,2,1,3,0,3,1,0,2,1,0,2,3,2,8,5,6,4,8,3,0,5,7,4,4,2,1,0,3,1,1,1,2,0,0,4,2,2,0,2,2,1,1,3,4,5,7,1,121,31065
Nanuque,0,1,0,3,3,1,1,3,4,0,3,5,9,3,5,3,12,7,17,27,24,24,33,52,20,18,19,9,5,5,3,2,4,1,3,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,337,31066
Padre Paraíso,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,9,3,8,36,35,24,24,12,8,3,7,1,4,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,189,31067
Pedra azul,0,0,0,0,0,1,1,1,4,5,16,4,4,4,8,8,5,18,41,12,6,5,2,3,1,0,2,3,0,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,162,31068
Araxá,16,21,29,33,27,17,31,57,77,67,106,135,198,235,263,343,354,328,339,363,301,235,135,134,78,75,45,42,36,18,16,17,20,18,19,20,19,28,23,22,17,16,13,19,20,16,19,12,11,15,20,8,4526,31070
