Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
Mantena,0,0,0,1,0,2,3,11,31,51,34,67,28,155,259,318,189,146,101,80,69,18,42,24,28,7,15,7,2,5,5,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,4,3,4,2,2,1721,31038
Resplendor,0,0,2,4,1,3,1,4,40,170,51,107,82,243,121,173,148,90,67,103,81,32,36,20,2,20,20,14,11,4,1,1,1,4,12,3,2,1,1,1,0,0,0,0,2,5,4,2,1,9,10,13,4,2,1729,31040
Além Paraíba,0,1,3,2,0,0,1,8,14,48,87,109,110,177,165,145,119,124,59,50,49,24,17,7,5,6,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,1,1349,31041
Carangola,0,0,0,1,1,0,0,0,0,1,1,1,3,3,7,6,23,10,11,5,17,12,14,8,9,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,142,31042
"Leopoldina,Cataguases",0,1,4,12,9,5,5,9,19,38,37,49,79,161,182,183,122,119,87,52,48,26,47,17,24,20,14,4,4,3,2,0,1,3,4,2,3,3,1,0,2,0,4,0,3,1,0,0,1,1,2,1,2,0,1416,31044
Muriaé,0,0,3,5,3,5,0,5,3,5,5,8,12,38,63,68,52,50,44,51,36,33,22,31,24,12,13,7,8,2,1,5,1,4,3,3,1,0,0,0,1,1,2,0,0,4,0,0,4,4,4,7,4,3,660,31045
Santos Dumont,0,1,0,0,0,0,0,0,0,0,1,0,1,5,3,2,4,4,10,9,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,56,31046
"São João Nepomuceno,Bicas",0,2,2,1,2,1,1,2,2,1,1,3,1,9,12,7,12,10,3,3,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,31047
Ubá,1,1,7,10,4,4,5,13,19,46,68,50,45,198,407,386,385,295,234,205,165,108,102,56,51,27,12,12,9,5,9,0,0,4,4,2,1,4,0,1,0,0,0,5,2,4,2,5,6,5,1,5,4,1,2995,31048
Coração de Jesus,0,0,1,1,1,0,0,0,0,0,1,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31050
