"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  CAIANA";-;1;2;4;31;24;36;9;32;15;21;5;15;4;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204
".....  ESPERA FELIZ";-;16;26;86;96;233;392;358;485;380;272;232;195;98;96;82;56;34;32;27;31;11;10;5;1;1;3;1;2;-;-;-;1;2;2;-;1;1;3;1;3;1;-;-;3276
".....  CAPARAO";-;-;-;-;-;3;18;10;6;42;34;29;9;7;33;29;18;32;35;40;53;30;22;14;7;8;7;4;2;1;-;-;1;-;1;1;2;-;-;1;-;-;-;-;499
"31044 Leopoldina/Cataguases";-;201;365;501;482;503;490;275;616;565;452;385;374;231;271;196;174;112;81;75;49;51;27;31;18;20;16;9;5;4;2;1;5;1;2;-;4;7;2;3;1;2;7;1;6617
".....  ASTOLFO DUTRA";-;11;25;29;27;25;33;15;32;16;10;3;2;7;1;3;1;-;1;-;3;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;247
".....  LEOPOLDINA";-;6;25;36;47;79;82;71;151;192;143;130;124;110;125;98;111;50;34;39;18;20;14;6;7;7;8;2;1;3;1;-;4;1;-;-;3;-;-;-;1;-;-;-;1749
".....  CATAGUASES";-;158;264;320;295;278;252;103;259;202;163;134;123;39;48;37;27;22;19;11;4;3;2;1;2;7;2;2;2;-;1;1;-;-;-;-;1;-;2;-;-;1;-;-;2785
".....  LARANJAL";-;-;-;-;3;4;2;4;7;11;9;11;12;1;5;-;-;-;-;-;5;14;4;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;98
".....  SANTANA DE CATAGUASES";-;-;8;1;14;22;24;16;54;30;19;15;33;17;13;14;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;287
".....  RECREIO";-;16;20;41;49;33;41;30;57;46;58;45;34;24;20;21;15;16;10;11;13;8;2;9;5;5;5;3;2;1;-;-;1;-;-;-;-;-;-;1;-;1;-;1;644
".....  DONA EUSEBIA";-;6;13;18;24;48;40;17;42;41;25;21;37;17;19;3;-;13;10;8;3;1;1;5;1;1;1;2;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;421
".....  PALMA";-;-;-;13;12;8;12;14;10;22;11;21;9;10;36;18;15;9;7;5;2;3;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;241
".....  ARGIRITA";-;-;2;-;2;2;1;-;3;1;8;1;-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;-;-;7;-;37
".....  ITAMARATI DE MINAS";-;4;8;43;9;4;3;5;1;4;6;4;-;5;4;2;1;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;108
"31045 Muriaé";-;65;87;119;122;198;225;287;451;433;382;436;337;213;284;291;243;222;151;153;145;101;52;62;34;41;23;21;5;6;14;11;9;6;10;10;24;20;20;11;13;6;5;-;5348
".....  MIRAI";-;44;33;55;53;80;32;17;41;8;1;3;5;3;22;24;18;18;10;5;8;1;-;4;-;6;-;1;-;-;2;1;1;-;-;-;2;1;1;-;1;2;3;-;506
".....  SAO FRANCISCO DO GLORIA";-;-;-;-;3;8;11;35;33;32;51;64;30;48;40;33;32;19;32;32;20;9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;534
".....  ROSARIO DA LIMEIRA";-;-;-;-;-;2;3;3;6;5;-;4;3;1;-;1;-;2;-;1;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;37
".....  BARAO DE MONTE ALTO";-;-;-;-;3;1;4;7;8;11;13;16;9;3;7;6;2;9;4;4;4;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116
".....  MIRADOURO";-;1;-;1;3;8;14;10;24;34;22;26;15;13;19;12;16;19;9;7;9;3;2;1;4;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;275
".....  MURIAE";-;19;53;61;55;87;135;167;254;281;253;292;236;129;178;204;157;139;90;82;92;77;42;44;29;23;23;11;4;5;8;7;7;5;8;9;21;18;19;9;12;3;2;-;3350
".....  EUGENOPOLIS";-;1;-;-;2;4;9;29;24;30;29;4;6;-;4;1;4;5;1;3;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;161
".....  ANTONIO PRADO DE MINAS";-;-;-;-;-;1;1;1;6;-;-;-;-;-;-;1;1;3;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  VIEIRAS";-;-;-;1;-;4;9;10;20;11;1;3;1;9;3;1;1;3;-;1;2;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;83
".....  SAO SEBASTIAO DA VARGEM ALEGRE";-;-;1;-;-;1;1;2;4;6;3;3;25;7;11;7;12;4;4;17;5;6;2;7;1;10;-;9;-;1;4;-;1;1;2;1;-;1;-;-;-;-;-;-;159
".....  PATROCINIO DO MURIAE";-;-;-;1;3;2;6;6;31;15;9;21;7;-;-;1;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;109
"31046 Santos Dumont";-;1;3;10;36;75;64;61;84;125;76;114;116;162;173;183;204;128;130;99;92;106;61;72;21;28;16;3;5;4;6;3;1;2;1;-;-;-;-;-;-;-;-;-;2265
".....  SANTOS DUMONT";-;1;3;10;35;71;53;57;56;111;67;100;91;149;133;151;176;90;75;60;40;80;36;32;15;16;4;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1715
".....  ARACITABA";-;-;-;-;1;2;7;4;16;13;7;10;21;12;39;31;21;27;42;30;39;21;24;31;6;12;5;1;3;2;2;1;1;2;1;-;-;-;-;-;-;-;-;-;434
".....  OLIVEIRA FORTES";-;-;-;-;-;2;4;-;12;1;2;4;4;1;1;1;7;11;13;9;13;5;1;9;-;-;7;2;1;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;116
"31047 São João Nepomuceno/Bicas";-;7;24;32;109;159;179;186;298;422;506;585;534;374;322;309;320;235;147;166;206;135;132;87;74;90;82;17;33;13;22;11;6;12;11;9;2;7;9;2;9;12;3;-;5898
".....  ROCHEDO DE MINAS";-;-;-;-;1;-;4;1;2;6;20;40;30;22;38;41;14;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;222
".....  BICAS";-;1;2;-;8;22;37;34;35;80;74;76;100;75;66;58;87;57;32;55;48;29;37;39;17;37;19;6;5;2;10;3;-;5;1;-;-;-;-;-;-;1;1;-;1159
".....  SENADOR CORTES";-;-;4;-;2;9;14;10;14;42;38;38;41;32;62;32;26;16;17;5;9;9;4;4;2;4;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;438
".....  MARIPA DE MINAS";-;-;1;-;-;-;-;1;5;9;21;29;25;30;30;32;33;-;-;-;-;-;7;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;225
".....  SAO JOAO NEPOMUCENO";-;3;5;2;26;10;20;23;59;39;250;270;129;105;79;108;81;113;71;57;103;65;69;31;44;43;61;9;26;10;10;8;6;7;10;8;2;6;8;2;9;11;2;-;2000
".....  MAR DE ESPANHA";-;1;10;28;69;107;89;99;154;210;67;107;123;66;19;5;28;6;1;1;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1194
".....  GUARARA";-;-;1;-;-;6;5;8;21;15;25;9;50;30;8;17;41;11;-;10;12;9;4;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;284
".....  PEQUERI";-;1;1;-;-;4;8;7;3;15;5;6;29;4;2;6;3;3;8;8;9;3;6;3;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;136
".....  DESCOBERTO";-;1;-;2;3;1;2;3;5;6;6;10;7;10;18;10;7;27;18;30;25;18;5;6;10;6;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;240
"31048 Ubá";-;21;46;51;111;282;502;541;1112;1449;1473;1711;1919;1337;1687;1591;1308;1168;865;974;867;661;446;473;291;191;165;126;95;88;51;70;33;41;53;47;35;35;37;20;32;36;15;1;22057
".....  GUIDOVAL";-;-;-;-;1;5;21;9;16;22;25;28;34;18;23;24;13;16;11;14;4;1;-;5;2;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;296
".....  DORES DO TURVO";-;1;-;-;1;2;1;1;-;11;11;4;1;5;10;15;8;10;6;12;10;8;4;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;129
".....  TABULEIRO";-;-;-;1;-;3;7;4;8;15;13;9;4;5;19;27;37;14;15;28;25;20;12;8;3;3;5;1;1;3;2;2;-;2;2;-;-;-;1;1;1;1;1;-;303
".....  VISCONDE DO RIO BRANCO";-;6;14;12;19;48;132;114;233;299;307;290;287;215;258;228;134;148;91;107;101;67;60;58;53;37;26;28;9;10;4;11;2;6;9;4;7;3;3;-;5;13;3;1;3462
".....  SENADOR FIRMINO";-;-;-;-;1;4;9;22;18;26;23;23;26;9;27;29;24;24;25;34;38;21;4;11;6;4;2;3;2;-;1;-;1;-;-;-;1;-;-;-;1;2;-;-;421
".....  GUARANI";-;4;3;8;5;2;5;5;15;26;25;27;30;11;37;15;17;22;16;8;17;14;9;13;9;3;3;3;5;1;1;-;1;1;-;1;-;-;5;3;-;2;1;-;373
".....  SILVEIRANIA";-;-;-;-;-;-;2;8;6;11;7;17;2;15;11;6;3;5;3;12;7;5;12;2;6;4;-;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156
".....  GUIRICEMA";-;1;-;1;1;4;3;33;64;119;68;69;68;30;80;56;82;46;35;16;3;7;5;1;1;-;5;6;3;2;3;-;-;2;3;-;2;1;2;-;1;1;-;-;824
".....  COIMBRA";-;1;-;2;7;9;20;26;20;21;33;36;57;36;32;40;26;23;12;40;24;22;14;29;9;5;4;-;-;-;-;-;1;-;1;-;-;-;1;-;1;-;-;-;552
".....  SAO GERALDO";-;-;-;3;1;5;9;10;12;21;20;21;27;19;35;41;45;32;52;28;39;39;16;6;10;10;5;10;8;2;3;2;-;-;-;1;1;-;-;1;-;2;1;-;537
".....  TOCANTINS";-;1;2;3;3;6;13;8;47;66;78;97;55;46;87;99;127;210;154;132;102;66;51;33;22;13;8;4;4;2;-;1;1;2;1;-;1;-;1;-;1;-;-;-;1547
".....  PRESIDENTE BERNARDES";-;-;5;-;1;3;16;6;32;28;20;26;48;59;85;77;75;44;42;28;9;9;8;1;2;1;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;629
