"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  PONTO DOS VOLANTES";-;-;4;1;9;8;1;9;11;11;22;35;36;14;24;30;10;21;4;5;10;4;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;274
".....  MONTE FORMOSO";-;-;-;-;-;-;2;1;6;26;34;39;25;10;18;4;7;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176
".....  COMERCINHO";-;1;1;1;4;4;5;13;12;29;28;28;22;14;23;32;17;11;7;6;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;262
"31066 Nanuque";-;6;22;24;35;31;56;48;86;100;114;180;207;183;229;197;173;139;162;111;85;97;56;49;42;55;42;26;20;21;22;8;12;8;9;9;12;12;7;2;3;2;-;-;2702
".....  CARLOS CHAGAS";-;1;13;17;30;22;31;26;21;11;33;55;49;35;33;32;35;30;16;40;30;26;11;10;3;5;4;1;1;2;-;-;2;-;-;-;-;-;-;1;-;1;-;-;627
".....  SERRA DOS AIMORES";-;-;-;1;2;6;5;6;17;19;33;35;44;40;45;29;45;27;24;13;5;14;13;2;6;4;8;8;2;4;3;1;-;-;2;-;4;3;-;-;-;-;-;-;470
".....  NANUQUE";-;5;9;6;3;3;20;16;48;70;48;90;114;108;151;136;93;82;122;58;50;57;32;37;33;46;30;17;17;15;19;7;10;8;7;9;8;9;7;1;3;1;-;-;1605
"31067 Padre Paraíso";-;2;14;11;11;26;44;86;116;181;165;235;296;291;373;345;288;274;271;268;179;150;97;75;34;33;20;23;15;9;7;4;7;9;5;-;3;1;5;1;3;3;1;-;3981
".....  CARAI";-;1;8;7;7;15;20;47;46;59;64;59;72;77;73;71;62;76;79;76;70;46;47;35;19;15;13;16;8;4;-;2;7;8;3;-;1;-;1;-;2;-;-;-;1216
".....  CATUJI";-;1;1;-;-;2;7;4;9;9;9;23;18;12;39;32;16;11;1;7;13;7;1;1;-;3;-;1;1;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;232
".....  PADRE PARAISO";-;-;5;3;4;6;12;31;55;101;82;141;184;170;205;158;125;124;68;83;43;23;6;10;5;3;2;2;-;2;1;1;-;-;1;-;-;-;-;-;-;1;-;-;1657
".....  ITAIPE";-;-;-;1;-;3;5;4;6;12;10;12;22;32;56;84;85;63;123;102;53;74;43;29;10;12;5;4;6;2;6;1;-;1;1;-;2;-;4;-;1;1;1;-;876
"31068 Pedra azul";-;1;3;5;12;23;51;77;132;235;204;225;253;245;218;187;159;70;50;41;38;50;24;30;20;5;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2361
".....  DIVISOPOLIS";-;-;-;-;2;4;7;6;6;12;13;9;13;2;8;9;19;-;-;1;6;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123
".....  AGUAS VERMELHAS";-;-;-;-;-;-;3;3;4;3;5;7;7;3;18;12;1;2;2;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74
".....  DIVISA ALEGRE";-;-;-;-;5;4;3;2;7;8;8;7;12;11;16;18;25;11;1;5;3;5;4;10;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;169
".....  PEDRA AZUL";-;1;3;4;4;10;28;46;99;175;142;154;171;171;124;89;69;42;34;16;12;20;9;3;11;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1442
".....  CACHOEIRA DE PAJEU";-;-;-;1;1;5;10;20;16;37;36;48;50;58;52;59;45;15;13;18;15;23;9;16;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;553
"31070 Araxá";-;88;176;258;415;707;1095;1240;1733;1898;1951;2256;2347;1745;1758;2015;1560;1123;1158;889;1002;832;484;412;321;262;248;163;128;101;60;55;40;22;27;33;39;26;24;12;3;2;5;-;28713
".....  CAMPOS ALTOS";-;3;8;9;29;33;39;77;101;131;96;84;139;77;145;140;75;57;80;83;99;71;48;35;23;27;31;20;8;9;-;3;3;-;-;-;2;-;3;4;1;-;1;-;1794
".....  ARAXA";-;65;139;180;269;486;735;824;1166;1218;1244;1297;1391;1045;924;972;730;420;622;303;515;415;250;198;124;139;142;99;71;57;46;32;22;18;20;25;27;24;20;3;-;1;-;-;16278
".....  IBIA";-;9;12;21;28;51;99;144;197;223;297;367;376;342;412;510;422;309;208;204;163;144;72;66;34;33;22;23;14;8;4;5;2;1;3;5;3;2;-;3;-;-;-;-;4838
".....  PERDIZES";-;4;5;16;20;60;51;68;74;123;147;156;113;94;131;247;228;255;177;239;178;157;94;106;138;62;52;20;34;24;9;14;12;2;3;3;6;-;1;1;2;1;4;-;3131
".....  TAPIRA";-;-;1;-;2;2;5;7;10;13;6;12;3;5;2;6;8;2;14;6;6;8;7;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;128
".....  SANTA JULIANA";-;6;8;3;34;23;48;28;78;80;30;152;170;107;91;54;45;48;22;20;13;12;3;3;2;-;-;-;-;-;-;1;1;1;1;-;1;-;-;-;-;-;-;-;1085
".....  PRATINHA";-;-;-;3;1;8;10;7;7;12;13;22;17;22;13;29;27;12;13;20;14;14;4;2;-;1;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;276
".....  PEDRINOPOLIS";-;1;3;26;32;44;108;85;100;98;118;166;138;53;40;57;25;20;22;14;14;11;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1183
"31071 Frutal/Iturama";-;61;83;96;132;167;207;261;373;358;287;333;287;188;255;257;222;317;277;290;324;315;226;243;224;200;156;129;109;141;101;117;122;79;72;86;81;70;62;61;32;28;40;5;7474
".....  SAO FRANCISCO DE SALES";-;-;-;-;-;1;5;16;22;27;15;13;12;11;11;38;24;42;35;41;47;56;33;30;37;29;24;17;13;5;3;1;5;1;2;1;5;3;-;2;2;1;-;-;630
".....  UNIAO DE MINAS";-;-;-;-;2;2;-;-;5;9;1;4;4;1;5;4;5;4;6;2;2;4;1;-;-;2;-;2;1;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;70
".....  ITURAMA";-;7;5;7;9;16;26;43;88;72;47;45;42;16;28;40;31;44;27;20;34;31;28;23;28;23;16;22;11;13;10;24;30;12;13;15;14;11;9;9;9;10;2;-;1010
".....  LIMEIRA DO OESTE";-;1;-;3;2;6;7;9;13;28;15;65;56;41;64;27;44;53;46;49;30;21;15;20;17;10;5;-;3;6;4;11;2;-;3;-;-;-;-;-;-;-;-;-;676
".....  FRONTEIRA";-;30;45;39;51;21;32;26;22;10;19;12;2;1;9;16;10;2;12;15;10;9;11;14;4;11;2;-;1;2;1;-;1;2;-;-;-;-;1;-;1;-;1;-;445
".....  FRUTAL";-;8;28;24;33;73;87;96;144;116;99;79;78;46;48;57;53;57;60;68;39;40;24;19;19;26;23;18;14;8;13;10;14;15;13;18;12;12;14;14;5;5;7;-;1636
".....  PIRAJUBA";-;-;-;5;1;8;6;6;9;6;5;9;10;8;5;5;-;5;-;-;18;2;5;1;7;-;-;-;-;9;2;3;1;2;1;2;-;-;1;1;-;-;1;-;144
".....  PLANURA";-;2;2;4;15;13;9;20;34;25;33;40;22;19;17;7;12;45;10;29;30;20;11;15;10;9;3;9;1;9;4;1;2;1;3;3;5;2;3;2;2;-;-;-;503
".....  CARNEIRINHO";-;2;-;-;6;12;14;20;25;23;24;27;14;17;15;32;13;30;26;34;31;17;14;11;6;13;12;9;6;6;4;2;3;4;2;2;2;2;2;-;-;-;-;-;482
".....  COMENDADOR GOMES";-;-;-;-;-;-;4;6;3;10;9;-;10;-;5;1;4;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
".....  ITAPAGIPE";-;11;3;14;13;15;17;19;8;32;20;39;37;28;48;30;26;35;54;32;83;115;84;108;96;77;71;52;59;82;60;64;62;42;35;45;43;40;32;33;13;12;29;5;1823
"31072 Uberaba";-;159;246;272;425;561;887;896;1448;1305;1278;1365;1346;1030;1069;1592;1763;1507;1527;2100;1861;1303;957;917;658;636;539;512;411;291;307;204;209;118;231;130;168;141;90;206;92;56;30;5;30848
".....  SACRAMENTO";-;9;5;6;34;65;102;111;177;178;303;368;440;424;465;601;682;507;433;518;274;268;108;97;47;53;19;20;6;10;1;3;4;4;5;9;7;5;1;3;2;4;-;-;6378
".....  UBERABA";-;146;231;258;369;438;723;722;1145;1000;891;895;799;518;515;845;917;843;923;1371;1358;909;744;723;516;504;465;423;355;250;265;179;194;106;216;113;148;126;88;201;84;49;29;5;21599
".....  CAMPO FLORIDO";-;-;1;3;7;11;18;22;24;36;29;48;33;21;22;22;34;21;21;11;20;23;10;15;9;10;11;15;12;8;3;5;3;-;2;-;-;3;-;-;-;-;-;-;533
".....  DELTA";-;-;-;-;1;4;6;1;2;7;3;15;13;20;7;8;17;7;11;7;15;6;7;5;2;3;3;1;1;1;8;7;-;1;1;1;1;-;-;-;-;-;-;-;192
".....  CONCEICAO DAS ALAGOAS";-;2;3;1;7;10;15;13;40;49;22;14;30;16;18;21;43;48;63;100;98;46;61;60;55;32;25;41;30;14;29;8;7;7;7;7;12;6;1;2;2;2;1;-;1068
".....  AGUA COMPRIDA";-;2;3;2;1;9;8;5;9;5;12;5;15;11;15;41;35;38;35;34;56;16;16;12;11;11;8;5;-;1;-;2;1;-;-;-;-;1;-;-;4;1;-;-;430
".....  VERISSIMO";-;-;1;-;-;7;1;2;6;4;3;2;1;3;2;1;2;1;2;6;1;4;4;2;6;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66
".....  CONQUISTA";-;-;2;2;6;17;14;20;45;26;15;18;15;17;25;53;33;42;39;53;39;31;7;3;12;22;7;6;6;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;582
"31073 Ituiutaba";-;12;30;67;106;183;181;245;223;273;288;427;412;303;376;597;642;688;680;657;560;591;303;303;265;234;188;173;157;141;123;71;90;68;89;66;60;52;51;42;38;27;11;1;10094
".....  GURINHATA";-;-;1;-;2;3;1;1;3;5;6;10;44;31;21;31;49;45;43;33;29;14;6;5;1;5;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;393
".....  CENTRALINA";-;1;-;-;7;8;2;17;16;27;5;18;23;17;29;26;49;59;62;52;35;65;22;31;24;14;8;5;3;4;-;-;-;1;-;-;-;-;-;1;1;-;-;-;632
".....  CACHOEIRA DOURADA";-;-;-;3;-;-;1;-;-;-;3;-;3;-;2;2;2;-;7;19;2;8;1;1;11;4;6;2;1;12;4;6;8;4;15;4;3;1;1;3;3;1;-;-;143
".....  SANTA VITORIA";-;1;1;6;15;15;23;41;44;45;51;77;124;77;80;90;85;83;85;52;45;55;17;17;17;8;6;11;5;2;4;5;3;1;-;-;-;1;1;1;1;-;1;1;1197
".....  CAPINOPOLIS";-;-;5;6;16;17;17;17;22;43;31;36;25;20;31;27;45;61;62;54;63;42;31;16;18;34;20;13;22;14;12;8;9;12;11;9;9;5;20;12;3;-;1;-;919
".....  IPIACU";-;1;3;2;-;3;5;10;-;10;-;2;-;7;10;28;26;11;16;5;7;3;-;3;9;5;2;1;6;5;2;1;-;-;1;-;-;1;-;-;-;-;-;-;185
".....  CAMPINA VERDE";-;-;-;-;3;7;10;13;6;6;7;8;16;12;6;9;17;38;18;22;27;25;12;4;12;3;2;3;1;-;1;1;3;2;-;2;-;-;-;-;-;-;-;-;296
".....  CANAPOLIS";-;3;11;10;21;35;14;29;42;34;65;91;1;2;26;169;129;164;162;188;110;129;50;38;29;38;22;12;10;3;6;4;1;4;3;6;3;4;-;2;1;2;-;-;1673
".....  ITUIUTABA";-;6;9;40;42;95;108;117;90;103;120;185;176;137;171;215;240;227;225;232;242;250;164;188;144;123;119;125;109;101;94;46;66;44;59;45;45;40;29;23;29;24;9;-;4656
"31074 Patrocínio/Monte Carmelo";-;186;338;375;418;580;648;599;683;633;695;811;994;689;745;687;444;369;339;288;234;209;161;165;102;76;52;55;38;12;20;8;7;5;2;4;11;7;11;2;7;8;3;-;11720
".....  GRUPIARA";-;1;-;1;4;1;1;-;-;-;-;-;1;-;2;4;-;-;-;-;3;1;6;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
".....  MONTE CARMELO";-;10;23;39;37;58;90;78;126;125;103;140;100;57;104;119;123;128;55;91;75;76;71;58;46;28;22;25;15;1;4;2;1;1;-;-;2;1;5;1;3;5;2;-;2050
".....  IRAI DE MINAS";-;-;-;1;2;23;16;21;44;26;49;35;80;65;113;67;79;54;80;31;16;17;7;5;1;5;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;841
".....  COROMANDEL";-;147;209;219;215;277;262;277;247;209;172;193;159;99;98;102;88;75;126;93;65;62;43;57;23;16;14;20;16;8;6;4;6;1;2;3;7;6;3;-;-;-;-;-;3629
".....  DOURADOQUARA";-;-;-;-;-;-;-;-;1;1;1;5;-;-;-;2;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;14
".....  ROMARIA";-;-;1;2;2;5;6;3;-;1;4;14;11;7;25;22;18;21;13;15;2;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183
".....  ESTRELA DO SUL";-;1;-;5;5;11;6;8;7;14;15;11;13;7;4;10;4;8;3;4;2;3;1;4;2;2;1;1;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;155
".....  ABADIA DOS DOURADOS";-;1;2;5;9;8;6;13;11;9;10;7;5;1;7;7;-;3;1;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;113
".....  PATROCINIO";-;26;103;103;144;197;261;199;247;248;341;406;625;453;392;354;131;80;61;53;71;39;31;37;27;25;14;6;7;1;10;2;-;3;-;1;1;-;2;1;1;2;1;-;4706
"31075 Uberlândia/Araguari";-;430;664;1081;1704;2832;3174;3250;3836;3834;3509;3420;3973;2788;2371;2111;1982;1866;1745;1937;1551;1487;877;795;821;469;473;312;318;319;215;219;160;98;112;88;157;130;202;156;164;108;47;2;55787
".....  PRATA";-;10;34;20;48;31;51;55;195;384;124;168;85;76;103;112;101;141;127;57;101;44;25;48;49;-;20;8;11;4;-;1;-;-;-;-;-;-;1;3;1;4;1;-;2243
".....  NOVA PONTE";-;32;38;37;19;9;13;2;11;9;11;14;3;-;3;4;5;10;5;7;7;5;4;6;16;26;26;7;5;4;11;6;4;4;6;-;-;-;1;-;-;-;-;-;370
".....  CASCALHO RICO";-;1;1;30;18;8;25;35;39;33;43;51;38;45;24;27;20;9;11;12;2;1;2;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;479
".....  UBERLANDIA";-;205;343;540;903;1837;1928;2080;2337;2073;2025;1788;2110;1537;1203;957;845;819;750;951;815;829;478;347;394;236;226;166;142;136;87;107;76;54;75;52;57;77;87;108;128;80;25;2;30015
".....  ARAGUARI";-;173;237;428;683;881;1062;960;1044;1140;1112;1233;1488;966;817;762;766;642;644;693;450;497;277;325;298;179;176;114;137;157;102;95;67;39;26;35;99;49;109;45;35;24;21;-;19087
".....  TUPACIGUARA";-;-;2;4;1;20;22;68;113;127;130;106;125;101;123;141;142;161;121;114;105;56;49;35;34;6;12;11;13;9;9;3;4;1;2;-;-;4;2;-;-;-;-;-;1976
".....  INDIANOPOLIS";-;1;1;9;8;8;15;15;37;11;20;22;16;18;21;36;39;32;37;33;22;24;4;7;6;2;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;450
".....  MONTE ALEGRE DE MINAS";-;7;8;12;15;28;40;14;24;34;25;20;45;25;30;38;29;29;16;28;15;14;11;12;7;13;5;6;3;3;1;2;2;-;-;-;1;-;1;-;-;-;-;-;563
".....  ARAPORA";-;1;-;1;9;10;18;21;36;23;19;18;63;20;47;34;35;23;34;42;34;17;27;13;17;5;4;-;6;5;5;5;7;-;3;1;-;-;1;-;-;-;-;-;604
"31076 Manga";-;7;19;39;43;66;154;267;323;399;459;540;433;341;325;280;180;139;82;69;39;28;17;14;19;-;2;1;-;1;1;1;1;3;-;-;-;-;-;-;-;-;-;-;4292
".....  JUVENILIA";-;-;2;3;2;4;8;6;8;11;18;13;8;4;18;11;11;30;8;2;2;1;2;2;4;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;182
".....  MIRAVANIA";-;-;-;1;1;1;6;6;6;16;30;31;28;28;29;47;42;24;20;22;12;9;3;8;10;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;382
".....  MANGA";-;5;16;27;31;52;100;174;194;188;220;303;244;167;100;65;28;23;6;5;2;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1954
".....  MONTALVANIA";-;-;1;8;5;4;25;72;60;96;100;118;56;71;114;88;51;28;19;14;7;10;6;2;5;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;963
".....  SAO JOAO DAS MISSOES";-;2;-;-;4;5;15;9;55;88;91;75;97;71;64;69;48;34;29;26;16;7;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;811
"31077 João Pinheiro";-;31;42;77;83;95;155;125;138;170;143;136;162;109;127;140;128;121;130;113;100;111;62;64;41;41;30;35;21;18;15;8;14;4;3;13;14;13;27;5;1;-;2;-;2867
".....  LAGOA GRANDE";-;3;5;8;3;11;15;8;12;21;9;1;6;2;-;4;3;-;3;4;1;5;1;3;1;4;2;-;1;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;139
".....  JOAO PINHEIRO";-;28;34;65;77;82;135;112;119;136;126;128;150;101;108;119;112;113;118;101;88;98;57;53;38;36;28;34;20;18;15;7;13;4;3;13;14;13;27;5;-;-;2;-;2550
".....  BRASILANDIA DE MINAS";-;-;3;4;3;2;5;5;7;13;8;7;6;6;19;17;13;8;9;8;11;8;4;8;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;178
"31078 Congonhas";-;64;92;128;239;418;400;332;707;746;996;1141;1183;920;1301;2015;1150;839;1122;1054;680;539;627;476;193;146;150;67;111;72;30;29;49;23;47;30;20;19;15;23;26;37;13;1;18270
".....  ENTRE RIOS DE MINAS";-;5;8;14;50;116;80;51;116;78;113;197;251;224;153;168;140;99;57;42;28;4;1;2;2;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;2003
".....  OURO BRANCO";-;22;47;63;101;109;131;98;147;292;381;306;280;212;291;641;119;192;170;249;51;75;91;96;58;34;56;30;43;35;9;7;14;17;17;12;6;6;4;11;9;6;-;-;4538
".....  DESTERRO DE ENTRE RIOS";-;1;-;-;9;21;22;31;44;47;40;57;93;101;97;112;16;10;13;26;3;10;9;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;769
".....  JECEABA";-;1;1;-;8;5;10;18;13;26;39;26;53;36;73;86;62;40;41;47;44;30;16;16;8;5;4;3;1;-;2;-;1;2;-;-;-;2;-;1;-;1;1;-;722
".....  CONGONHAS";-;34;33;46;62;156;138;100;357;262;355;480;458;299;643;937;779;454;808;665;533;410;496;344;125;104;87;31;66;37;19;22;34;4;29;18;14;11;10;10;17;29;12;1;9529
".....  SAO BRAS DO SUACUI";-;1;3;5;9;11;19;34;30;41;68;75;48;48;44;71;34;44;33;25;21;10;14;12;-;3;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;709
"31079 Conselheiro Lafaiete";-;186;366;625;980;1411;2397;2462;3675;4009;4114;4147;5015;3959;3461;3353;2387;1524;1246;1159;767;460;231;228;109;100;94;65;36;32;16;21;13;15;24;9;12;14;15;19;14;4;10;-;48784
".....  QUELUZITO";-;1;2;-;2;4;10;10;12;11;13;17;19;11;15;38;21;20;19;19;14;11;2;4;1;4;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;285
".....  SANTANA DOS MONTES";-;1;31;31;41;44;81;62;70;84;70;76;52;49;30;26;17;8;16;12;10;2;2;4;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;821
".....  CASA GRANDE";-;-;1;1;-;5;7;10;11;12;7;6;7;30;32;18;3;6;9;42;5;14;2;7;2;13;4;5;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;262
".....  CARANAIBA";-;4;2;1;2;5;2;9;17;12;22;28;32;25;26;19;8;19;25;14;14;7;1;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;298
".....  SENHORA DE OLIVEIRA";-;5;15;13;24;28;35;51;45;32;64;61;69;63;36;46;35;24;10;17;6;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;683
".....  CATAS ALTAS DA NORUEGA";-;-;2;-;2;7;10;7;13;32;23;42;57;59;41;55;32;27;28;14;11;3;2;2;2;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;475
".....  CRISTIANO OTONI";-;1;2;3;3;5;13;23;40;53;50;65;109;91;130;101;100;107;90;99;91;52;35;22;8;10;11;5;4;6;4;3;2;-;2;-;-;-;-;-;-;-;1;-;1341
".....  RIO ESPERA";-;-;-;1;3;2;6;11;18;33;33;44;25;31;21;22;15;9;10;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287
".....  PIRANGA";-;3;-;9;15;16;36;28;60;92;94;90;152;146;103;132;51;76;70;68;40;25;12;9;3;3;-;3;3;1;2;1;-;1;-;1;-;-;-;-;-;-;-;-;1345
".....  LAMIM";-;2;2;-;1;-;1;2;2;2;19;14;18;17;25;13;13;9;6;12;3;3;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168
".....  CONSELHEIRO LAFAIETE";-;168;306;564;884;1289;2168;2233;3350;3603;3667;3678;4433;3392;2966;2853;2083;1215;956;856;567;337;168;177;89;66;75;49;24;22;10;15;9;11;21;8;12;14;15;18;13;4;7;-;42395
".....  ITAVERAVA";-;1;3;2;3;6;28;16;37;43;52;26;42;45;36;30;9;4;7;6;5;3;4;2;1;-;2;2;2;-;-;1;1;3;-;-;-;-;-;1;1;-;-;-;424
"31082 São Gotardo";-;274;415;422;477;609;878;921;1289;1518;1732;1758;1796;1562;1555;1419;1047;898;633;659;434;357;241;199;140;83;69;59;43;31;24;20;10;8;8;5;14;1;2;2;7;12;3;2;21636
".....  TIROS";-;97;117;111;45;71;74;42;47;33;19;28;9;4;2;5;4;11;5;6;5;9;3;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;751
".....  RIO PARANAIBA";-;11;25;23;32;59;83;92;117;197;221;265;377;316;300;389;310;279;170;175;147;104;67;45;43;26;16;19;10;4;1;2;-;-;1;-;-;-;1;1;1;-;-;-;3929
".....  SAO GOTARDO";-;15;35;38;59;87;190;262;400;457;646;653;615;659;643;578;329;315;256;289;142;123;82;82;39;17;16;9;1;-;3;1;-;-;1;-;-;-;-;-;1;1;-;-;7044
".....  ARAPUA";-;3;2;5;4;9;10;17;25;14;44;117;73;34;81;75;83;59;36;16;16;3;13;8;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;754
".....  MATUTINA";-;2;3;10;30;42;44;33;114;55;50;60;98;89;41;38;31;20;21;11;11;10;6;-;2;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;824
".....  CARMO DO PARANAIBA";-;134;233;228;282;302;380;421;539;716;690;605;596;436;466;308;274;196;127;151;101;98;69;59;46;36;30;28;31;26;20;15;9;6;6;5;10;1;-;1;4;11;3;2;7701
".....  SANTA ROSA DA SERRA";-;12;-;7;25;39;97;54;47;46;62;30;28;24;22;26;16;18;18;11;12;10;1;3;5;4;6;3;1;1;-;-;-;1;-;-;3;-;1;-;-;-;-;-;633
"31083 Bocaiúva";-;232;673;538;333;334;331;249;285;305;276;189;210;150;151;123;109;101;94;64;41;27;21;21;12;9;10;4;2;7;2;7;3;8;8;6;6;4;3;13;7;8;5;-;4981
".....  FRANCISCO DUMONT";-;15;25;38;23;74;30;21;32;51;16;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;337
".....  GUARACIAMA";-;18;22;13;12;7;12;7;10;10;4;6;8;3;6;4;1;2;2;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;154
".....  BOCAIUVA";-;106;497;354;190;142;135;88;95;105;86;73;84;37;70;69;50;33;25;27;17;10;9;16;12;8;5;4;2;7;2;7;2;8;6;6;6;2;2;13;5;7;5;-;2427
".....  JOAQUIM FELICIO";-;10;14;17;25;14;48;54;59;85;85;50;71;76;49;30;50;59;62;35;19;12;9;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;942
".....  OLHOS-D'AGUA";-;65;56;60;37;55;56;55;40;38;55;36;38;25;18;13;5;7;5;2;1;5;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;675
".....  ENGENHEIRO NAVARRO";-;18;59;56;46;42;50;24;49;16;30;18;9;8;8;7;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;446
"31084 Montes Claros";-;147;342;371;600;856;1489;1527;2394;3079;3489;3292;3325;2332;2685;2241;1706;1340;773;796;626;512;250;230;153;102;122;62;67;62;48;50;37;39;64;38;44;60;54;33;54;46;42;-;35579
".....  ITACAMBIRA";-;2;10;7;3;4;6;2;7;1;4;4;10;3;1;2;2;3;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73
".....  JURAMENTO";-;4;14;17;18;21;31;15;23;24;17;15;9;16;19;11;16;21;1;3;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;299
".....  GLAUCILANDIA";-;7;14;9;4;12;12;7;11;11;14;8;3;3;11;4;16;7;2;3;-;4;1;4;1;1;-;-;-;-;-;-;-;1;6;1;1;2;1;1;-;-;-;-;182
".....  MONTES CLAROS";-;131;295;321;547;759;1328;1380;2146;2784;3245;3104;3152;2178;2519;2140;1608;1257;733;765;611;496;237;213;151;100;119;60;66;61;48;50;37;38;57;36;43;58;53;32;54;46;41;-;33099
".....  CLARO DOS POCOES";-;2;2;7;9;23;61;49;126;165;115;97;81;76;60;35;17;18;7;3;5;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;962
".....  MIRABELA";-;1;7;10;19;37;51;74;81;94;94;64;70;56;75;49;47;34;30;21;10;12;8;10;1;1;3;2;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;964
