Município,Semana 1,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 2,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 3,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 4,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 5,Semana 50,Semana 51,Semana 52,Semana 53,Semana 6,Semana 7,Semana 8,Semana 9
"Oliveira,Santo Antônio do Amparo",37.2,1.7999999999999998,0.0,48.0,128.0,15.599999999999998,3.8,7.2,0.0,0.0,0.0,77.4,0.0,0.0,5.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.19999999999999,0.0,11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,28.0,0.0,73.6,32.0,86.60000000000001,23.2,117.19999999999999,35.0,72.0,5.6000000000000005,170.0,14.0,26.8,33.2,105.6,15.799999999999999,2.6,57.4,41.599999999999994,25.200000000000003
Sete Lagoas,100.4,64.0,5.0,58.8,8.8,60.00000000000001,0.0,20.4,0.2,0.4,0.6000000000000001,76.6,0.4,0.6000000000000001,0.4,0.4,1.0,0.4,0.2,0.4,0.2,0.0,17.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,0.0,70.2,43.8,52.4,80.6,38.8,52.6,26.2,0.0,0.0,29.799999999999997,0.6000000000000001,98.4,145.6,104.2,36.4,64.60000000000001,30.8,59.6
Mantena,58.0,0.6000000000000001,2.8,6.6000000000000005,1.2000000000000002,5.2,9.4,2.6,0.0,0.0,27.6,34.6,0.0,0.2,0.4,0.2,0.0,0.4,9.799999999999999,0.0,0.8,0.0,1.8,0.0,22.4,18.6,2.4,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,111.6,1.2,39.0,0.0,47.2,91.4,93.0,92.6,75.2,6.4,37.4,27.200000000000003,13.399999999999999,57.800000000000004,92.2,7.8,36.800000000000004,26.6,72.8,0.0
Araxá,65.2,95.4,76.4,39.0,142.8,8.600000000000001,59.6,0.8,0.0,0.0,0.0,17.2,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.8,0.0,34.4,40.8,34.199999999999996,43.0,123.8,84.8,70.8,42.2,71.80000000000001,25.2,77.0,105.0,150.2,53.800000000000004,53.0,10.4,44.8,4.6000000000000005
"Belo Horizonte,Nova Lima,Santa Luzia",69.8,22.2,14.6,89.8,32.8,4.0,0.0,93.19999999999999,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2,0.0,49.599999999999994,20.6,44.599999999999994,102.39999999999999,77.0,52.199999999999996,27.799999999999997,4.2,64.2,58.6,7.4,66.4,241.4,22.400000000000002,66.4,26.2,91.2,3.6000000000000005
"Belo Horizonte,Nova Lima,Santa Luzia",123.4,71.8,25.400000000000002,43.400000000000006,41.99999999999999,108.8,0.8,25.0,0.2,0.0,0.0,32.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.2,84.2,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,2.0,93.2,0.0,109.60000000000001,37.6,66.4,125.39999999999999,110.2,91.4,90.4,3.4000000000000004,54.0,67.0,9.0,106.0,186.0,12.8,51.4,42.0,119.0,8.599999999999998
Manhuaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itaobim,81.39999999999999,3.8000000000000003,11.0,0.0,0.2,17.6,0.8,2.2,0.0,0.0,5.199999999999999,31.6,0.0,0.0,0.0,1.8,0.6000000000000001,0.4,1.2,2.4000000000000004,1.6,0.0,0.0,0.4,3.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.6,0.0,3.2,8.2,5.6,27.8,21.0,55.800000000000004,10.8,11.600000000000001,0.0,41.2,3.2,26.4,51.199999999999996,19.0,13.8,11.8,81.2,4.4
Pirapora,73.19999999999999,42.0,2.4000000000000004,12.999999999999998,37.0,79.80000000000001,0.0,0.0,0.0,0.0,1.0,40.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,149.0,0.0,31.4,15.2,19.8,39.0,25.4,63.6,37.0,3.6,19.6,19.400000000000002,18.4,59.2,26.400000000000002,7.800000000000001,115.4,10.0,255.79999999999998,21.8
"Diamantina,Itamarandiba",138.0,6.3999999999999995,47.6,56.0,10.8,20.599999999999998,3.0,3.0,4.4,0.2,1.2000000000000002,43.6,0.0,0.0,0.2,0.0,0.4,0.2,1.4000000000000001,0.0,0.2,0.0,58.800000000000004,1.2000000000000002,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,53.6,1.7999999999999998,83.80000000000001,134.6,25.200000000000003,62.599999999999994,52.8,1.6,17.0,21.4,51.0,85.6,143.6,47.4,92.0,39.8,163.0,20.2
Viçosa,136.20000000000002,135.39999999999998,26.2,40.0,32.8,2.4,0.6000000000000001,13.8,0.6000000000000001,1.2000000000000002,0.6000000000000001,100.0,0.6000000000000001,0.6000000000000001,0.8,0.8,1.2000000000000002,0.4,1.0,0.6000000000000001,0.8,0.4,55.39999999999999,0.6000000000000001,0.4,1.2000000000000002,0.2,0.2,0.8,0.0,0.0,0.0,7.6000000000000005,115.60000000000001,0.0,40.0,10.799999999999999,82.4,10.8,52.6,65.6,41.00000000000001,7.6000000000000005,60.4,84.80000000000001,32.0,75.2,93.99999999999999,5.6,12.6,44.800000000000004,82.8,51.800000000000004
Divinópolis,144.6,101.8,55.0,28.0,37.6,10.4,1.6,34.8,0.2,0.2,0.2,4.4,0.0,0.2,12.200000000000001,0.2,0.4,0.2,0.0,0.0,0.0,0.0,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,29.2,0.2,32.2,6.000000000000001,84.4,24.400000000000002,148.0,78.4,0.6000000000000001,3.6,56.8,19.4,39.2,69.6,152.2,38.400000000000006,33.2,43.0,37.0,12.8
Ituiutaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,203.4,30.599999999999998,44.2,5.4,57.199999999999996,0.0,29.2,43.2,19.4,27.599999999999998,0.0,0.0,0.0,0.0
"Coronel Fabriciano,Timóteo",84.6,41.0,11.2,149.2,22.599999999999998,2.8,1.8,1.4,0.2,0.2,0.2,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,34.199999999999996,93.80000000000001,134.0,53.199999999999996,108.0,67.0,48.6,70.6,98.4,32.4,2.2,13.4,197.0,29.599999999999998
"Unaí,Paracatu",175.6,31.200000000000003,20.0,148.2,52.2,26.400000000000002,18.0,0.0,0.0,0.0,0.0,60.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6,0.0,19.2,16.2,40.6,41.800000000000004,57.199999999999996,45.599999999999994,91.6,25.8,25.2,63.39999999999999,11.0,19.6,63.4,55.4,58.400000000000006,58.6,60.8,0.0
Juiz de Fora,62.8,51.0,26.6,30.0,40.8,0.2,0.6000000000000001,6.4,0.4,0.0,0.0,68.6,0.0,0.0,33.4,0.0,0.0,0.0,0.0,9.0,1.2,0.0,49.8,0.0,0.4,7.800000000000001,0.2,0.0,14.4,0.0,0.0,11.4,9.0,64.8,0.8,52.0,80.2,87.8,4.6,96.0,90.6,57.0,0.8,33.0,56.6,77.80000000000001,44.8,124.0,12.2,36.0,136.60000000000002,70.6,50.4
