Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
"Frutal,Iturama",0,61,83,96,132,167,207,261,373,358,287,333,287,188,255,257,222,317,277,290,324,315,226,243,224,200,156,129,109,141,101,117,122,79,72,86,81,70,62,61,32,28,40,5,7474,31071
Uberaba,0,159,246,272,425,561,887,896,1448,1305,1278,1365,1346,1030,1069,1592,1763,1507,1527,2100,1861,1303,957,917,658,636,539,512,411,291,307,204,209,118,231,130,168,141,90,206,92,56,30,5,30848,31072
Ituiutaba,0,12,30,67,106,183,181,245,223,273,288,427,412,303,376,597,642,688,680,657,560,591,303,303,265,234,188,173,157,141,123,71,90,68,89,66,60,52,51,42,38,27,11,1,10094,31073
"Patrocínio,Monte Carmelo",0,186,338,375,418,580,648,599,683,633,695,811,994,689,745,687,444,369,339,288,234,209,161,165,102,76,52,55,38,12,20,8,7,5,2,4,11,7,11,2,7,8,3,0,11720,31074
"Uberlândia,Araguari",0,430,664,1081,1704,2832,3174,3250,3836,3834,3509,3420,3973,2788,2371,2111,1982,1866,1745,1937,1551,1487,877,795,821,469,473,312,318,319,215,219,160,98,112,88,157,130,202,156,164,108,47,2,55787,31075
Manga,0,7,19,39,43,66,154,267,323,399,459,540,433,341,325,280,180,139,82,69,39,28,17,14,19,0,2,1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,4292,31076
João Pinheiro,0,31,42,77,83,95,155,125,138,170,143,136,162,109,127,140,128,121,130,113,100,111,62,64,41,41,30,35,21,18,15,8,14,4,3,13,14,13,27,5,1,0,2,0,2867,31077
Congonhas,0,64,92,128,239,418,400,332,707,746,996,1141,1183,920,1301,2015,1150,839,1122,1054,680,539,627,476,193,146,150,67,111,72,30,29,49,23,47,30,20,19,15,23,26,37,13,1,18270,31078
Conselheiro Lafaiete,0,186,366,625,980,1411,2397,2462,3675,4009,4114,4147,5015,3959,3461,3353,2387,1524,1246,1159,767,460,231,228,109,100,94,65,36,32,16,21,13,15,24,9,12,14,15,19,14,4,10,0,48784,31079
São Gotardo,0,274,415,422,477,609,878,921,1289,1518,1732,1758,1796,1562,1555,1419,1047,898,633,659,434,357,241,199,140,83,69,59,43,31,24,20,10,8,8,5,14,1,2,2,7,12,3,2,21636,31082
Bocaiúva,0,232,673,538,333,334,331,249,285,305,276,189,210,150,151,123,109,101,94,64,41,27,21,21,12,9,10,4,2,7,2,7,3,8,8,6,6,4,3,13,7,8,5,0,4981,31083
Montes Claros,0,147,342,371,600,856,1489,1527,2394,3079,3489,3292,3325,2332,2685,2241,1706,1340,773,796,626,512,250,230,153,102,122,62,67,62,48,50,37,39,64,38,44,60,54,33,54,46,42,0,35579,31084
Taiobeiras,0,9,7,23,31,36,64,91,228,281,280,489,616,530,654,820,733,512,335,483,364,280,171,124,92,63,36,29,23,19,14,7,4,3,2,3,3,2,5,3,1,8,3,0,7481,31085
Divinópolis,0,511,717,950,1280,1454,1991,1957,2617,3021,2661,2456,2574,1728,1584,1626,1356,1092,811,756,655,487,371,295,222,174,128,101,63,43,27,48,43,38,49,32,49,38,24,33,39,17,20,0,34138,31086
"Lagoa da Prata,Santo Antônio do Monte",0,111,281,434,675,810,1265,1344,1925,2217,2123,2293,2366,1916,1291,994,732,657,496,405,398,258,187,132,106,60,78,48,23,30,26,16,14,17,13,5,18,17,11,9,3,6,3,0,23813,31087
"Oliveira,Santo Antônio do Amparo",0,292,318,356,400,531,611,670,831,1050,1098,1139,1290,948,832,891,731,590,490,381,300,273,121,140,67,52,25,20,30,5,5,1,3,0,0,0,2,5,4,3,5,3,0,0,14513,31088
Campo Belo,0,223,311,385,662,907,1278,1702,1911,1893,2202,2053,1746,1143,877,756,443,238,211,179,124,42,29,21,27,15,10,1,3,0,1,0,1,3,6,2,2,4,4,0,0,2,0,0,19417,31089
Lima Duarte,0,6,9,20,47,85,154,186,206,307,441,421,520,506,661,650,548,437,369,305,276,237,115,99,52,20,29,10,18,10,4,5,5,1,6,0,0,1,1,2,1,4,6,0,6780,31090
Cássia,0,41,56,52,120,128,206,231,232,228,365,538,632,617,683,775,650,530,391,425,283,290,130,94,86,65,13,15,16,5,3,2,2,4,5,1,3,1,0,3,1,1,1,0,7924,31091
Passos,0,141,158,259,406,512,740,542,1450,1655,1800,2636,2616,1604,1866,1902,1385,1325,1047,827,752,698,291,311,173,97,98,71,56,46,38,19,12,13,9,20,21,49,27,19,32,26,24,0,25773,31092
Piumhi,0,208,328,431,601,737,767,675,887,1035,1130,931,1270,828,636,676,539,430,382,357,296,249,131,80,67,45,48,38,32,25,15,10,12,5,9,5,16,17,17,14,11,5,2,0,13997,31093
"Almenara,Jacinto",0,28,41,41,65,90,140,164,332,502,588,527,562,319,427,374,268,170,149,160,149,127,57,39,36,28,22,4,10,7,4,7,5,4,4,6,2,0,1,0,1,0,1,0,5461,31094
Serro,0,16,60,111,200,394,559,536,821,753,479,461,816,618,571,590,456,360,240,199,133,79,45,26,11,12,0,5,1,3,0,0,0,1,5,2,2,2,4,3,8,1,0,0,8583,31095
Itambacuri,0,16,21,32,51,140,227,287,528,447,575,522,453,303,229,171,121,87,71,49,39,29,14,8,4,10,5,9,1,0,0,0,0,0,2,0,2,9,0,0,0,0,0,0,4462,31096
Juiz de Fora,0,240,322,418,546,722,871,941,1772,1383,1196,1225,1464,1820,1993,2049,1873,1880,1617,1932,1684,1540,823,569,365,360,237,184,112,81,74,42,46,19,26,4,25,9,33,14,26,3,10,0,30550,31097
Salinas,0,22,64,90,167,210,386,350,455,386,423,371,446,362,297,315,246,176,102,86,44,34,14,9,4,3,6,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5074,31098
"Teófilo Otoni,Malacacheta",0,66,69,111,182,279,469,501,859,1118,1178,1242,1641,1028,1614,1298,1081,760,577,543,449,324,173,138,103,96,69,57,40,46,27,7,12,26,21,17,21,13,14,20,5,3,5,1,16303,31099
São Francisco,0,41,66,87,136,268,502,330,531,601,582,573,574,462,466,361,278,241,183,121,61,59,28,12,7,2,1,1,0,0,1,0,0,1,1,0,0,2,0,0,1,0,1,0,6581,31100
Brasília de Minas,0,37,144,176,312,485,663,587,686,742,824,904,772,756,632,579,593,424,338,240,135,140,55,45,29,20,18,12,16,8,9,4,6,3,2,0,3,6,1,3,0,0,1,0,10410,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,5,10,13,68,108,174,187,433,372,475,591,675,670,606,382,388,223,166,153,126,69,49,25,7,3,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5987,31102
