Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
Santos Dumont,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,31046
"São João Nepomuceno,Bicas",1,2,1,0,1,3,7,0,0,2,1,1,0,2,1,3,4,0,1,3,1,0,10,3,5,5,0,0,0,0,1,2,0,0,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,70,31047
Ubá,21,32,39,29,31,18,30,29,28,47,35,37,33,38,32,30,38,28,28,20,19,9,11,16,6,10,8,8,5,7,3,5,7,7,5,6,10,8,9,16,1,6,8,10,12,5,13,4,8,16,11,3,1,896,31048
Coração de Jesus,0,1,4,3,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31050
Francisco Sá,0,2,3,4,1,1,3,3,4,5,7,19,4,4,0,6,1,5,1,6,2,1,1,1,0,1,1,2,0,0,2,0,3,0,1,1,0,1,0,0,2,0,0,1,1,1,3,0,1,0,0,0,0,105,31051
"Janaúba,Monte Azul",3,4,4,14,7,8,8,12,9,14,22,11,24,32,28,17,60,39,30,25,18,23,14,20,7,9,12,10,10,4,1,0,1,5,7,2,2,4,0,4,1,2,7,2,22,27,12,24,37,48,37,60,0,803,31052
Januária,0,0,1,1,0,0,1,1,2,0,1,0,0,2,2,2,2,2,1,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,33,31053
Pirapora,8,9,12,15,4,5,5,10,18,23,9,21,6,8,12,7,9,4,7,3,3,3,0,1,3,1,0,0,0,0,0,0,2,2,0,0,1,1,0,2,0,1,0,1,1,2,2,1,5,2,7,9,2,247,31055
Patos de Minas,3,36,15,16,27,28,28,42,35,28,21,18,6,10,8,11,17,18,6,14,8,11,14,13,4,11,8,3,3,7,0,6,3,1,2,0,0,2,4,1,5,0,10,6,5,0,4,10,0,9,9,10,0,556,31057
"Unaí,Paracatu",148,144,136,167,112,141,166,185,204,196,221,143,94,148,158,143,174,188,230,168,129,91,114,128,85,71,61,50,45,36,28,32,46,25,23,16,45,24,30,22,14,19,27,21,36,36,72,86,89,77,91,138,5,5078,31058
Manhuaçu,1,6,3,1,8,7,17,13,13,26,25,15,15,10,4,8,12,3,6,18,24,18,6,7,10,11,6,3,3,2,0,3,2,0,1,2,1,1,0,0,1,0,0,4,6,14,10,14,15,20,36,24,0,455,31059
